SEANCE,CODE,VALEUR,OUVERTURE,CLOTURE,PLUS_BAS,PLUS_HAUT,QUANTITE_NEGOCIEE,NB_TRANSACTION,CAPITAUX
2012-02-01,100010,MONOPRIX,28.32,28.6,28.32,28.6,2499,217,1444.8
2012-02-01,110025,SFBT,13.3,13.03,12.91,13.3,5326,176,9389.41
2012-02-01,120040,TUNISAIR,1.7,1.68,1.68,1.71,6830,281,1498.46
2012-02-01,140070,SPDIT - SICAF,6.7,6.81,6.7,6.81,1625,101,1035.0
2012-02-01,160015,ATTIJARI BANK,19.0,18.69,18.52,19.0,692,151,2960.44
2012-02-01,180045,BIAT,73.85,75.9,73.8,75.9,570,194,2276.93
2012-02-01,190060,BH,17.99,17.95,17.85,17.99,1419,132,5486.24
2012-02-01,210090,TUNISIE LEASING,0.0,0.0,0.0,0.0,0,0,0.0
2012-02-01,220005,BT,10.74,10.85,10.74,10.85,9505,1410,3052.83
2012-02-01,260095,STB,10.0,10.0,10.0,10.0,301,3,3010.0
2012-02-01,310060,BNA,11.9,11.9,11.9,11.9,300,1,3570.0
2012-02-01,340005,AMEN BANK,65.4,66.0,65.0,67.28,328,232,1566.6
2012-02-01,360035,ATB,5.92,5.89,5.83,6.0,1923,211,1274.47
2012-02-01,390010,UIB,18.99,18.99,18.33,18.99,630,61,1582.1
2012-02-01,400005,SIMPAR,0.0,0.0,0.0,0.0,0,0,0.0
2012-02-01,410020,TUNINVEST-SICAR,10.0,10.0,10.0,10.0,80,1,800.0
2012-02-01,420085,CIL,18.5,18.35,18.0,18.5,3272,115,9970.2
2012-02-01,470010,ATL,0.0,0.0,0.0,0.0,0,0,0.0
2012-02-01,570001,POULINA GP HOLDING,8.17,8.34,8.17,8.34,8187,396,6967.48
2012-02-01,606001,STAR,150.0,148.0,148.0,150.0,114,91,7032.0
2012-02-01,644001,MAGASIN GENERAL,136.1,136.0,134.5,136.1,175,52,3652.0
2012-02-01,653001,SOTETEL,6.18,6.12,6.03,6.18,6826,294,1466.87
2012-02-01,655001,ASSURANCES SALIM,29.9,30.19,29.9,30.19,31,3,927.48
2012-02-01,656001,SOTUVER,9.59,9.6,9.5,9.6,546,7,5208.1
2012-02-01,658001,SOTUMAG,0.0,0.0,0.0,0.0,0,0,0.0
2012-02-01,659001,SIAME,4.51,4.51,4.38,4.51,3479,101,5414.16
2012-02-01,665001,ELECTROSTAR,3.9,3.9,3.9,3.9,100,1,390.0
2012-02-01,666001,SOTRAPIL,13.6,13.77,13.6,13.77,180,4,2449.7
2012-02-01,672004,MODERN LEASING,9.27,9.24,9.1,9.27,1031,12,9490.0
2012-02-01,678001,SOMOCER,3.65,3.68,3.61,3.75,257074,2694,5942.16
2012-02-01,713001,GIF-FILTER,5.81,5.87,5.8,5.88,12130,437,899.09
2012-02-01,714001,ASSAD,10.67,10.67,10.6,10.67,301,5,3190.81
2012-02-01,718001,SITS,3.6,3.65,3.6,3.67,7870,322,8477.9
2012-02-01,720001,EL WIFACK LEASING,19.71,20.3,19.68,20.3,633,61,2471.84
2012-02-01,721001,ESSOUKNA,8.25,8.3,8.25,8.3,1641,121,3541.8
2012-02-01,725001,ADWYA,0.0,0.0,0.0,0.0,0,0,0.0
2012-02-01,727001,TPR,6.1,5.98,5.95,6.1,4818,192,8693.55
2012-02-01,729001,SOPAT,4.29,4.25,4.17,4.29,204,5,850.94
2012-02-01,730001,ARTES,9.5,9.5,9.5,9.6,485,3,4608.0
2012-02-01,735001,CIMENTS DE BIZERTE,8.1,8.0,8.0,8.1,32,3,259.0
2012-02-01,738001,TUNIS RE,11.58,11.45,11.36,11.58,5277,106,63.32
2012-02-01,741001,ENNAKL AUTOMOBILES,9.7,9.69,9.42,9.7,2904,262,7948.44
2012-02-01,744001,TELNET HOLDING,8.78,8.7,8.61,8.79,1294,71,1259.41
2012-02-01,130055,BTE (ADP),0.0,0.0,0.0,0.0,0,0,0.0
2012-02-01,230035,AIR LIQUDE TSIE,414.0,414.0,414.0,414.0,11,5,4554.0
2012-02-01,240050,UBCI,45.32,45.32,45.32,45.32,5,1,226.6
2012-02-01,250065,PLAC. TSIE-SICAF,0.0,0.0,0.0,0.0,0,0,0.0
2012-02-01,300045,ASTREE,0.0,0.0,0.0,0.0,0,0,0.0
2012-02-01,320075,ICF,0.0,0.0,0.0,0.0,0,0,0.0
2012-02-01,330090,TUNISIE LAIT,4.7,4.7,4.7,4.7,14,1,65.8
2012-02-01,380070,ALKIMIA,32.32,32.32,32.32,32.32,10,1,323.2
2012-02-01,661001,ATTIJARI LEASING,0.0,0.0,0.0,0.0,0,0,0.0
2012-02-01,664001,STEQ,0.0,0.0,0.0,0.0,0,0,0.0
2012-02-01,667001,SIPHAT,14.5,14.5,14.5,14.5,2,2,29.0
2012-02-01,150085,AMS,0.0,0.0,0.0,0.0,0,0,0.0
2012-02-01,430030,SITEX,5.89,5.89,5.89,5.89,1,1,5.89
2012-02-01,617001,STE TUN. DU SUCRE,10.28,10.28,10.28,10.28,5,1,51.4
2012-02-01,130057,BTE0919 5.25%AP10,0.0,0.0,0.0,0.0,0,0,0.0
2012-02-01,130058,BTE0920 5.2%AP10,0.0,0.0,0.0,0.0,0,0,0.0
2012-02-01,130059,BTE0920 T+0.7%AP10,0.0,0.0,0.0,0.0,0,0,0.0
2012-02-01,130060,BTE0930 5.85%AP20,0.0,0.0,0.0,0.0,0,0,0.0
2012-02-01,160034,OCTJ0112 4.82%FIN5,0.0,0.0,0.0,0.0,0,0,0.0
2012-02-01,160038,"TJB 0118 T+0,60%P7",0.0,0.0,0.0,0.0,0,0,0.0
2012-02-01,190081,BH1214 T+1.2%AP7-2,0.0,0.0,0.0,0.0,0,0,0.0
2012-02-01,190083,"BH1224 T+0,8%P15-2",0.0,0.0,0.0,0.0,0,0,0.0
2012-02-01,190084,"BH1224 5,3%P15-2",0.0,0.0,0.0,0.0,0,0,0.0
2012-02-01,210117,TL 0712   7 %  AP5,0.0,0.0,0.0,0.0,0,0,0.0
2012-02-01,210118,TL0712T+1.375% AP5,0.0,0.0,0.0,0.0,0,0,0.0
2012-02-01,210119,TL1212 6.5%AP5,0.0,0.0,0.0,0.0,0,0,0.0
2012-02-01,210120,TL1212 T+1%AP5,0.0,0.0,0.0,0.0,0,0,0.0
2012-02-01,210123,TL0113 6.5%AP5,0.0,0.0,0.0,0.0,0,0,0.0
2012-02-01,210124,TL0113 T+1%AP5,0.0,0.0,0.0,0.0,0,0,0.0
2012-02-01,210125,TL0613 6.5%AP5,0.0,0.0,0.0,0.0,0,0,0.0
2012-02-01,210126,TL0613 T+1%AP5,0.0,0.0,0.0,0.0,0,0,0.0
2012-02-01,210127,TLS1113 6.5%AP5,0.0,0.0,0.0,0.0,0,0,0.0
2012-02-01,210128,TLS1113 T+1.0AP5,0.0,0.0,0.0,0.0,0,0,0.0
2012-02-01,210129,TLS0114 6.5%AP5,0.0,0.0,0.0,0.0,0,0,0.0
2012-02-01,210130,TLS0114 T+1.0AP5,0.0,0.0,0.0,0.0,0,0,0.0
2012-02-01,210133,TLS0314 6.5%AP5,0.0,0.0,0.0,0.0,0,0,0.0
2012-02-01,210134,TLS0314 T+1.0AP5,0.0,0.0,0.0,0.0,0,0,0.0
2012-02-01,210137,TLS0914 5.65%AP5,0.0,0.0,0.0,0.0,0,0,0.0
2012-02-01,210138,TLS0914 T+1.25%AP5,0.0,0.0,0.0,0.0,0,0,0.0
2012-02-01,210142,TLS0315 5.125%P5,0.0,0.0,0.0,0.0,0,0,0.0
2012-02-01,210143,TLS0315 T+0.625%P5,0.0,0.0,0.0,0.0,0,0,0.0
2012-02-01,210144,TLS0615 5.125%P5,0.0,0.0,0.0,0.0,0,0,0.0
2012-02-01,210145,TLS0615 T+0.625%P5,0.0,0.0,0.0,0.0,0,0,0.0
2012-02-01,210146,TL1115 5.375% AP5,0.0,0.0,0.0,0.0,0,0,0.0
2012-02-01,210147,TL1115 T+ 0.75%AP5,0.0,0.0,0.0,0.0,0,0,0.0
2012-02-01,210148,"TL SB0216 5,7% P5",0.0,0.0,0.0,0.0,0,0,0.0
2012-02-01,210149,"TL SB0216 T+1,1%P5",0.0,0.0,0.0,0.0,0,0,0.0
2012-02-01,210150,"TL0616 5,75%AP5",0.0,0.0,0.0,0.0,0,0,0.0
2012-02-01,210151,"TL0616 T+0,9%AP5",0.0,0.0,0.0,0.0,0,0,0.0
2012-02-01,210152,"TL1016 5,95%P5",0.0,0.0,0.0,0.0,0,0,0.0
2012-02-01,210153,"TL1016 T+1,25%P5",0.0,0.0,0.0,0.0,0,0,0.0
2012-02-01,260099,STB0524 T+1.5%AP16,0.0,0.0,0.0,0.0,0,0,0.0
2012-02-01,260100,STB0528T+1.75%AP20,0.0,0.0,0.0,0.0,0,0,0.0
2012-02-01,260101,STB0533 T+2.0%AP25,0.0,0.0,0.0,0.0,0,0,0.0
2012-02-01,260102,STB0225 6.5%AP16,0.0,0.0,0.0,0.0,0,0,0.0
2012-02-01,260103,STB0320 T+0.70%P10,0.0,0.0,0.0,0.0,0,0,0.0
2012-02-01,260104,STB0325 5.30%P15,0.0,0.0,0.0,0.0,0,0,0.0
2012-02-01,310067,BNA0424 5.4%AP15,0.0,0.0,0.0,0.0,0,0,0.0
2012-02-01,340023,AB0412 TX+1% AP10,0.0,0.0,0.0,0.0,0,0,0.0
2012-02-01,340026,AB 0117 T+1% AP10,0.0,0.0,0.0,0.0,0,0,0.0
2012-02-01,340032,AB0523 6.5%AP15,0.0,0.0,0.0,0.0,0,0,0.0
2012-02-01,340033,AB0528 7.0%AP20,0.0,0.0,0.0,0.0,0,0,0.0
2012-02-01,340034,ABSB0924 5.45%P15,0.0,0.0,0.0,0.0,0,0,0.0
2012-02-01,340035,ABSB0924 T+0.85P15,0.0,0.0,0.0,0.0,0,0,0.0
2012-02-01,340040,AB0825 T+0.85%AP15,0.0,0.0,0.0,0.0,0,0,0.0
2012-02-01,340041,"ABSB0921 6,1%P10",0.0,0.0,0.0,0.0,0,0,0.0
2012-02-01,340042,ABSB0921 T+1%P10,0.0,0.0,0.0,0.0,0,0,0.0
2012-02-01,360047,ATB0517T+0.75%AP10,0.0,0.0,0.0,0.0,0,0,0.0
2012-02-01,360048,ATB0523T+1.25%AP16,0.0,0.0,0.0,0.0,0,0,0.0
2012-02-01,360049,ATB0527T+1.75%AP20,0.0,0.0,0.0,0.0,0,0,0.0
2012-02-01,360050,ATB0532T+2.0%AP25,0.0,0.0,0.0,0.0,0,0,0.0
2012-02-01,360055,"ATB0516T+0,5P7-2",0.0,0.0,0.0,0.0,0,0,0.0
2012-02-01,360056,"ATB0519T+0,75P10-2",0.0,0.0,0.0,0.0,0,0,0.0
2012-02-01,360057,"ATB0524 5,7%P15-5",0.0,0.0,0.0,0.0,0,0,0.0
2012-02-01,360058,"ATB0529 5,9%P20-5",0.0,0.0,0.0,0.0,0,0,0.0
2012-02-01,390022,UIB0719 5.25%AP10,0.0,0.0,0.0,0.0,0,0,0.0
2012-02-01,390023,UIB0724 5.5%AP15,0.0,0.0,0.0,0.0,0,0,0.0
2012-02-01,390024,UIB0729 5.85%AP20,0.0,0.0,0.0,0.0,0,0,0.0
2012-02-01,390025,UIB0821 T+1%P10,0.0,0.0,0.0,0.0,0,0,0.0
2012-02-01,390026,"UIB0831 6,3%P20",0.0,0.0,0.0,0.0,0,0,0.0
2012-02-01,420102,CILF1012 7% AP7-2,0.0,0.0,0.0,0.0,0,0,0.0
2012-02-01,420103,CILV1012T1.25AP7-2,0.0,0.0,0.0,0.0,0,0,0.0
2012-02-01,420105,CIL0113 6.5%AP5,0.0,0.0,0.0,0.0,0,0,0.0
2012-02-01,420106,CIL0113 T+1.25AP5,0.0,0.0,0.0,0.0,0,0,0.0
2012-02-01,420107,CIL0213 6.5%AP5,0.0,0.0,0.0,0.0,0,0,0.0
2012-02-01,420108,CIL0213 T+1.25AP5,0.0,0.0,0.0,0.0,0,0,0.0
