SEANCE,CODE,VALEUR,OUVERTURE,CLOTURE,PLUS_BAS,PLUS_HAUT,QUANTITE_NEGOCIEE,NB_TRANSACTION,CAPITAUX
2016-04-01,100010,MONOPRIX,14.19,13.9,13.77,14.19,2008,212,7847.95
2016-04-01,110025,SFBT,22.8,23.4,22.45,23.43,4801,2810,9693.23
2016-04-01,120040,TUNISAIR,0.82,0.81,0.8,0.82,12317,13,9941.51
2016-04-01,160015,ATTIJARI BANK,24.19,24.22,24.15,24.3,6115,2314,8030.95
2016-04-01,180045,BIAT,76.35,76.9,76.35,77.0,286,62,1948.34
2016-04-01,190060,BH,12.2,12.51,11.79,12.51,2174,232,6294.5
2016-04-01,210090,TUNISIE LEASING,16.7,16.7,16.7,16.7,149,2,2488.3
2016-04-01,220005,BT,9.1,9.0,8.95,9.1,9294,248,3541.14
2016-04-01,260095,STB,5.5,5.6,5.5,5.6,551,7,3036.4
2016-04-01,310060,BNA,11.5,11.18,11.16,11.5,485,8,5424.2
2016-04-01,340005,AMEN BANK,23.4,23.4,23.4,23.5,181,5,4238.3
2016-04-01,360035,ATB,4.2,4.2,4.19,4.2,6467,72,7105.42
2016-04-01,390010,UIB,15.98,15.9,15.85,15.98,601,4,9530.15
2016-04-01,400005,SIMPAR,0.0,0.0,0.0,0.0,0,0,0.0
2016-04-01,420085,CIL,15.29,15.29,15.29,15.29,1,1,15.29
2016-04-01,470010,ATL,2.83,2.83,2.83,2.83,225,4,636.75
2016-04-01,570001,POULINA GP HOLDING,5.04,4.94,4.94,5.04,671,5,3374.74
2016-04-01,606001,STAR,156.0,160.0,156.0,160.0,129,42,324.0
2016-04-01,653001,SOTETEL,1.2,1.23,1.2,1.23,824,11,1000.33
2016-04-01,656001,SOTUVER,2.98,3.06,2.98,3.06,14709,494,4457.87
2016-04-01,658001,SOTUMAG,2.01,2.03,1.94,2.04,169479,19133,2527.78
2016-04-01,659001,SIAME,2.3,2.24,2.24,2.3,1960,13,4393.4
2016-04-01,661001,ATTIJARI LEASING,21.34,21.34,21.34,21.34,35,2,746.9
2016-04-01,665001,ELECTROSTAR,3.88,3.73,3.72,3.9,2643,45,9946.57
2016-04-01,666001,SOTRAPIL,9.19,9.19,9.19,9.19,400,1,3676.0
2016-04-01,672004,MODERN LEASING,4.49,4.49,4.49,4.49,480,2,2155.2
2016-04-01,678001,SOMOCER,2.07,2.13,2.03,2.15,62027,15513,739.46
2016-04-01,713001,GIF-FILTER,2.4,2.42,2.4,2.43,4410,201,596.91
2016-04-01,714001,ASSAD,5.3,5.35,5.2,5.35,2247,141,1853.9
2016-04-01,718001,SITS,2.3,2.35,2.3,2.35,5320,371,2239.9
2016-04-01,720001,WIFACK INT BANK,7.29,7.1,7.1,7.29,180,3,1290.95
2016-04-01,721001,ESSOUKNA,3.98,3.98,3.98,3.98,120,1,477.6
2016-04-01,725001,ADWYA,6.4,6.33,6.33,6.4,220,2,1406.6
2016-04-01,727001,TPR,3.14,3.18,3.14,3.18,3183,91,74.25
2016-04-01,729001,SOPAT,2.34,2.43,2.34,2.43,620,2,1495.8
2016-04-01,730001,ARTES,6.07,6.15,6.0,6.15,955,7,5773.1
2016-04-01,731013,HANNIBAL LEASE,0.0,0.0,0.0,0.0,0,0,0.0
2016-04-01,735001,CIMENTS DE BIZERTE,3.29,3.33,3.15,3.33,1970,9,6378.6
2016-04-01,738001,TUNIS RE,9.1,9.1,9.1,9.1,5,1,45.5
2016-04-01,741001,ENNAKL AUTOMOBILES,11.7,11.75,11.65,11.75,1810,202,1148.45
2016-04-01,744001,TELNET HOLDING,3.34,3.43,3.34,3.43,84,4,280.65
2016-04-01,753001,ONE TECH HOLDING,7.0,6.79,6.79,7.0,250,4,1716.4
2016-04-01,755001,CITY CARS,13.5,13.5,13.5,13.5,1250,31,6875.0
2016-04-01,757001,EURO-CYCLES,35.18,36.45,34.1,36.45,6253,11022,45.83
2016-04-01,759001,CELLCOM,8.5,8.49,8.31,8.5,675,8,5633.15
2016-04-01,761001,SAH,9.75,9.7,9.7,9.75,2126,92,665.1
2016-04-01,762001,MPBS,5.4,5.49,5.4,5.49,4699,212,5611.71
2016-04-01,763001,SOTIPAPIER,4.08,4.05,3.94,4.08,285,5,1129.44
2016-04-01,767001,DELICE HOLDING,13.02,13.49,13.0,13.5,846,101,1017.49
2016-04-01,769001,UADH,7.07,7.07,7.07,7.07,550,2,3888.5
2016-04-01,130055,BTE (ADP),17.63,18.15,17.63,18.15,681,81,2177.35
2016-04-01,140070,SPDIT - SICAF,0.0,0.0,0.0,0.0,0,0,0.0
2016-04-01,230035,AIR LIQUDE TSIE,153.91,153.91,153.91,153.91,8,3,1231.28
2016-04-01,240050,UBCI,0.0,0.0,0.0,0.0,0,0,0.0
2016-04-01,250065,PLAC. TSIE-SICAF,0.0,0.0,0.0,0.0,0,0,0.0
2016-04-01,300045,ASTREE,0.0,0.0,0.0,0.0,0,0,0.0
2016-04-01,320075,ICF,0.0,0.0,0.0,0.0,0,0,0.0
2016-04-01,330090,ELBENE INDUSTRIE,3.69,3.69,3.69,3.69,40,1,147.6
2016-04-01,380070,ALKIMIA,0.0,0.0,0.0,0.0,0,0,0.0
2016-04-01,410020,TUNINVEST-SICAR,0.0,0.0,0.0,0.0,0,0,0.0
2016-04-01,644001,MAGASIN GENERAL,22.2,22.2,22.2,22.2,75,1,1665.0
2016-04-01,655001,ASSURANCES SALIM,0.0,0.0,0.0,0.0,0,0,0.0
2016-04-01,664001,STEQ,0.0,0.0,0.0,0.0,0,0,0.0
2016-04-01,667001,SIPHAT,0.0,0.0,0.0,0.0,0,0,0.0
2016-04-01,758001,BEST LEASE,0.0,0.0,0.0,0.0,0,0,0.0
