SEANCE,CODE,VALEUR,OUVERTURE,CLOTURE,PLUS_BAS,PLUS_HAUT,QUANTITE_NEGOCIEE,NB_TRANSACTION,CAPITAUX
2020-02-01,100010,MONOPRIX,7.81,7.8,7.8,7.81,406,4,3168.4
2020-02-01,110025,SFBT,18.95,18.68,18.5,18.98,35833,7167,2327.49
2020-02-01,120040,TUNISAIR,0.63,0.63,0.62,0.63,13391,8,8302.5
2020-02-01,160015,ATTIJARI BANK,32.4,32.0,31.71,32.4,1059,123,3685.94
2020-02-01,180045,BIAT,113.5,112.51,112.51,113.5,2473,4527,9732.4
2020-02-01,190060,BH,12.13,11.77,11.77,12.13,2316,32,8087.68
2020-02-01,210090,TUNISIE LEASING F,8.4,8.4,8.4,8.4,3,1,25.2
2020-02-01,220005,BT,7.8,7.57,7.57,7.8,5469,104,1564.99
2020-02-01,260095,STB,4.78,4.64,4.64,4.78,2874,161,3437.13
2020-02-01,310060,BNA,11.9,11.9,11.7,11.9,10346,1012,1707.62
2020-02-01,320075,ICF,120.0,119.0,118.62,120.0,358,114,2734.43
2020-02-01,340005,AMEN BANK,29.24,29.5,29.24,29.68,5295,2815,5719.95
2020-02-01,360035,ATB,0.0,0.0,0.0,0.0,0,0,0.0
2020-02-01,390010,UIB,22.9,22.79,22.5,22.9,890,82,62.7
2020-02-01,400005,SIMPAR,39.88,39.88,39.88,39.88,1,1,39.88
2020-02-01,420085,CIL,0.0,0.0,0.0,0.0,0,0,0.0
2020-02-01,470010,ATL,1.69,1.65,1.65,1.69,2258,14,3731.72
2020-02-01,570001,POULINA GP HOLDING,12.81,13.0,12.81,13.0,2100,102,7205.0
2020-02-01,653001,SOTETEL,5.0,5.15,5.0,5.15,181,6,926.45
2020-02-01,656001,SOTUVER,8.58,8.24,8.22,8.58,3292,152,7705.8
2020-02-01,658001,SOTUMAG,2.38,2.37,2.37,2.38,5700,101,3514.0
2020-02-01,659001,SIAME,4.18,4.06,4.06,4.18,6465,302,6395.24
2020-02-01,661001,ATTIJARI LEASING,0.0,0.0,0.0,0.0,0,0,0.0
2020-02-01,665001,ELECTROSTAR,1.36,1.3,1.3,1.36,451,5,586.36
2020-02-01,666001,SOTRAPIL,11.98,11.9,11.9,11.98,1351,31,6167.3
2020-02-01,678001,SOMOCER,0.96,0.94,0.94,0.96,10210,26,9686.29
2020-02-01,713001,GIF-FILTER,0.61,0.61,0.6,0.61,2521,8,1520.65
2020-02-01,714001,ASSAD,7.2,7.2,7.2,7.2,260,2,1872.0
2020-02-01,720001,WIFACK INT BANK,6.84,6.84,6.84,6.84,300,1,2052.0
2020-02-01,721001,ESSOUKNA,2.18,2.16,2.12,2.18,1203,12,2555.24
2020-02-01,725001,ADWYA,2.51,2.52,2.47,2.52,2607,12,6487.18
2020-02-01,727001,TPR,4.74,4.6,4.6,4.88,3129,151,4605.46
2020-02-01,729001,SOPAT,1.68,1.68,1.64,1.69,3311,16,5495.53
2020-02-01,730001,ARTES,4.88,4.87,4.79,4.88,3396,141,6301.62
2020-02-01,731013,HANNIBAL LEASE,0.0,0.0,0.0,0.0,0,0,0.0
2020-02-01,738001,TUNIS RE,7.99,7.99,7.99,7.99,146,1,1166.54
2020-02-01,741001,ENNAKL AUTOMOBILES,11.99,11.99,11.99,11.99,60,1,719.4
2020-02-01,744001,TELNET HOLDING,9.25,9.2,9.03,9.25,11483,9910,3922.07
2020-02-01,753001,ONE TECH HOLDING,13.5,13.3,13.3,13.5,6825,249,1995.71
