SEANCE,CODE,OUVERTURE,CLOTURE,PLUS_BAS,PLUS_HAUT,QUANTITE_NEGOCIEE,CAPITAUX
2019-02-01,"725001                   ADWYA                     4,7          4,7",,4.8,4.8,4.8,42965,20620.8
2019-02-01,"340005                   AMEN BANK                27,8         27,8",,27.75,27.5,27.8,2619,7240.06
2019-02-01,"730001                   ARTES                    6,27         6,27",,6.28,6.27,6.29,25324,15924.09
2019-02-01,"714001                   ASSAD                    7,79          7,8",,8.02,7.78,8.02,14878621,18592.33
2019-02-01,"360035                   ATB                      3,76         3,66",,3.65,3.65,3.87,53313,1948.72
2019-02-01,"774001                   ATELIER MEUBLE INT       4,18         4,18",,4.2,4.15,4.2,8488,3530.24
2019-02-01,"470010                   ATL                      2,69         2,69",,2.63,2.61,2.65,340311,9005.19
2019-02-01,160015                   ATTIJARI BANK              41           41,41.941,41.0,41.0,42.0,9242443,79252.01
2019-02-01,"661001                   ATTIJARI LEASING        16,59        16,59",,16.1,16.1,16.1,3669,5892.6
2019-02-01,"190060                   BH                       12,8         12,8",,12.66,12.5,12.93,8955261,13045.04
2019-02-01,"180045                   BIAT                   119,49        119,5",119.49118,118.0,117.0,119.49,70924,83568.92
2019-02-01,"310060                   BNA                     14,19           14",14.1914,14.0,14.0,14.19,11649,16352.58
2019-02-01,"220005                   BT                       7,99         7,99",,7.8,7.77,7.99,4067252,318596.4
2019-02-01,"759001                   CELLCOM                  1,54          1,5",,1.55,1.54,1.58,1014,156.72
2019-02-01,"420085                   CIL                     15,33        15,33",1616.0,16.0,16.0,16.0,2002,3200.0
2019-02-01,"755001                   CITY CARS                11,4         11,4",,11.35,11.35,11.4,471015,53485.0
2019-02-01,"767001                   DELICE HOLDING          13,56        13,56",0.0,13.56,0.0,0.0,0,
2019-02-01,"665001                   ELECTROSTAR              1,38         1,38",,1.35,1.35,1.35,391213,5281.2
2019-02-01,"741001                   ENNAKL AUTOMOBILES      12,15        12,15",,12.14,12.0,12.15,5217,6310.5
2019-02-01,"721001                   ESSOUKNA                 2,55         2,55",,2.57,2.52,2.57,513,130.12
2019-02-01,"757001                   EURO-CYCLES              18,5         18,5",,18.3,18.15,18.49,6749,12402.26
2019-02-01,"713001                   GIF-FILTER               1,02         1,02",,1.02,0.99,1.02,1272725,12611.88
2019-02-01,"731013                   HANNIBAL LEASE            7,6          7,6",,7.68,7.68,7.68,101,76.8
2019-02-01,320075                   ICF                       183          179,183181.0,181.0,181.0,184.0,75759,137987.4
2019-02-01,"644001                   MAGASIN GENERAL          38,5         38,5",3939.0,39.0,39.0,39.0,10003,39000.0
2019-02-01,"100010                   MONOPRIX                 7,51         7,51",,7.71,7.51,7.72,123212,9489.32
