SEANCE,CODE,VALEUR,OUVERTURE,CLOTURE,PLUS_BAS,PLUS_HAUT,QUANTITE_NEGOCIEE,NB_TRANSACTION,CAPITAUX
2013-02-01,100010,MONOPRIX,28.0,28.49,27.8,28.5,3433,269,6071.93
2013-02-01,110025,SFBT,13.0,12.85,12.8,13.0,1267,91,6441.6
2013-02-01,120040,TUNISAIR,1.42,1.47,1.42,1.47,7839,431,1433.39
2013-02-01,140070,SPDIT - SICAF,6.87,6.82,6.82,6.87,1178,7,8074.11
2013-02-01,160015,ATTIJARI BANK,15.0,15.42,15.0,15.42,71,2,1065.42
2013-02-01,180045,BIAT,62.6,64.0,62.6,64.0,14,2,877.8
2013-02-01,190060,BH,12.4,12.39,12.25,12.4,928,51,1381.94
2013-02-01,210090,TUNISIE LEASING,22.5,22.88,22.5,22.89,215,6,4882.3
2013-02-01,220005,BT,12.0,12.0,12.0,12.0,27645,3733,1740.0
2013-02-01,230035,AIR LIQUDE TSIE,370.0,370.0,370.0,370.0,1,1,370.0
2013-02-01,240050,UBCI,0.0,0.0,0.0,0.0,0,0,0.0
2013-02-01,260095,STB,8.97,8.95,8.95,9.0,1308,101,1754.07
2013-02-01,310060,BNA,8.53,8.8,8.53,8.92,218,3,1865.6
2013-02-01,340005,AMEN BANK,35.0,34.7,34.5,35.0,603,102,985.66
2013-02-01,360035,ATB,4.5,4.6,4.5,4.6,1945,12,8907.31
2013-02-01,390010,UIB,18.0,18.21,18.0,18.23,1166,232,1141.64
2013-02-01,400005,SIMPAR,66.25,68.0,66.25,68.0,10,2,671.25
2013-02-01,410020,TUNINVEST-SICAR,8.5,8.5,8.5,8.5,1,1,8.5
2013-02-01,420085,CIL,15.13,15.86,15.13,15.86,97,2,1493.16
2013-02-01,470010,ATL,3.37,3.38,3.37,3.38,414,4,1396.85
2013-02-01,570001,POULINA GP HOLDING,6.6,6.65,6.6,6.7,2496,131,6546.7
2013-02-01,606001,STAR,143.0,143.7,143.0,143.8,382,35,4869.7
2013-02-01,644001,MAGASIN GENERAL,175.0,174.0,172.2,175.0,57,4,9895.0
2013-02-01,653001,SOTETEL,6.5,6.4,6.31,6.5,1165,19,7361.74
2013-02-01,655001,ASSURANCES SALIM,26.35,25.5,25.5,26.35,627,61,5997.0
2013-02-01,656001,SOTUVER,8.48,8.49,8.24,8.49,7688,326,5123.7
2013-02-01,658001,SOTUMAG,1.75,1.8,1.75,1.8,6251,121,1204.3
2013-02-01,659001,SIAME,4.0,3.96,3.95,4.0,965,6,3853.19
2013-02-01,661001,ATTIJARI LEASING,0.0,0.0,0.0,0.0,0,0,0.0
2013-02-01,665001,ELECTROSTAR,19.75,20.83,19.74,20.83,5361,6110,7669.17
2013-02-01,666001,SOTRAPIL,16.2,16.2,16.2,16.2,1,1,16.2
2013-02-01,672004,MODERN LEASING,7.05,7.05,7.05,7.05,325,3,2291.25
2013-02-01,678001,SOMOCER,2.56,2.61,2.5,2.61,260706,14866,8278.98
2013-02-01,713001,GIF-FILTER,5.3,5.34,5.29,5.35,5880,333,1400.89
2013-02-01,714001,ASSAD,8.65,8.61,8.61,8.65,2100,31,8084.42
2013-02-01,718001,SITS,3.15,3.23,3.1,3.23,51421,11716,3968.72
2013-02-01,720001,EL WIFACK LEASING,14.49,14.89,14.49,14.89,92,3,1333.88
2013-02-01,721001,ESSOUKNA,10.94,10.59,10.45,10.94,81,4,851.14
2013-02-01,725001,ADWYA,7.9,8.12,7.9,8.12,3110,162,5073.0
2013-02-01,727001,TPR,5.0,5.12,4.99,5.12,10283,285,1518.7
2013-02-01,729001,SOPAT,2.9,2.9,2.83,2.9,1690,13,4880.0
2013-02-01,730001,ARTES,8.06,8.54,8.06,8.54,55,3,460.1
2013-02-01,735001,CIMENTS DE BIZERTE,6.98,6.95,6.8,6.98,13617,49,4612.29
2013-02-01,738001,TUNIS RE,8.59,8.54,8.5,8.59,1653,131,4146.52
2013-02-01,741001,ENNAKL AUTOMOBILES,11.68,11.33,11.33,11.68,1952,252,2232.71
2013-02-01,744001,TELNET HOLDING,7.0,6.9,6.8,7.0,75,4,514.8
2013-02-01,130055,BTE (ADP),27.22,27.22,27.22,27.22,12,3,326.64
2013-02-01,250065,PLAC. TSIE-SICAF,0.0,0.0,0.0,0.0,0,0,0.0
2013-02-01,300045,ASTREE,0.0,0.0,0.0,0.0,0,0,0.0
2013-02-01,320075,ICF,48.88,48.88,48.88,48.88,85,2,4154.8
2013-02-01,330090,TUNISIE LAIT,4.38,4.38,4.38,4.38,50,3,219.0
2013-02-01,380070,ALKIMIA,0.0,0.0,0.0,0.0,0,0,0.0
2013-02-01,664001,STEQ,0.0,0.0,0.0,0.0,0,0,0.0
2013-02-01,667001,SIPHAT,0.0,0.0,0.0,0.0,0,0,0.0
2013-02-01,430030,SITEX,0.0,0.0,0.0,0.0,0,0,0.0
2013-02-01,617001,STE TUN. DU SUCRE,0.0,0.0,0.0,0.0,0,0,0.0
2013-02-01,130057,BTE0919 5.25%AP10,0.0,0.0,0.0,0.0,0,0,0.0
2013-02-01,130058,BTE0920 5.2%AP10,0.0,0.0,0.0,0.0,0,0,0.0
2013-02-01,130059,BTE0920 T+0.7%AP10,0.0,0.0,0.0,0.0,0,0,0.0
2013-02-01,130060,BTE0930 5.85%AP20,0.0,0.0,0.0,0.0,0,0,0.0
2013-02-01,130061,"BTE0219 T+1,3P7-2",0.0,0.0,0.0,0.0,0,0,0.0
2013-02-01,130062,"BTE0232 6,25%P20",0.0,0.0,0.0,0.0,0,0,0.0
2013-02-01,160038,TJB 0118 T+0.60%P7,0.0,0.0,0.0,0.0,0,0,0.0
2013-02-01,190081,BH1214 T+1.2%AP7-2,0.0,0.0,0.0,0.0,0,0,0.0
2013-02-01,190083,BH1224 T+0.8%P15-2,0.0,0.0,0.0,0.0,0,0,0.0
2013-02-01,190084,BH1224 5.3%P15-2,0.0,0.0,0.0,0.0,0,0,0.0
2013-02-01,210123,TL0113 6.5%AP5,0.0,0.0,0.0,0.0,0,0,0.0
2013-02-01,210124,TL0113 T+1%AP5,0.0,0.0,0.0,0.0,0,0,0.0
2013-02-01,210125,TL0613 6.5%AP5,0.0,0.0,0.0,0.0,0,0,0.0
2013-02-01,210126,TL0613 T+1%AP5,0.0,0.0,0.0,0.0,0,0,0.0
2013-02-01,210127,TLS1113 6.5%AP5,0.0,0.0,0.0,0.0,0,0,0.0
2013-02-01,210128,TLS1113 T+1.0AP5,0.0,0.0,0.0,0.0,0,0,0.0
2013-02-01,210129,TLS0114 6.5%AP5,0.0,0.0,0.0,0.0,0,0,0.0
2013-02-01,210130,TLS0114 T+1.0AP5,0.0,0.0,0.0,0.0,0,0,0.0
2013-02-01,210133,TLS0314 6.5%AP5,0.0,0.0,0.0,0.0,0,0,0.0
2013-02-01,210134,TLS0314 T+1.0AP5,0.0,0.0,0.0,0.0,0,0,0.0
2013-02-01,210137,TLS0914 5.65%AP5,0.0,0.0,0.0,0.0,0,0,0.0
2013-02-01,210138,TLS0914 T+1.25%AP5,0.0,0.0,0.0,0.0,0,0,0.0
2013-02-01,210142,TLS0315 5.125%P5,0.0,0.0,0.0,0.0,0,0,0.0
2013-02-01,210143,TLS0315 T+0.625%P5,0.0,0.0,0.0,0.0,0,0,0.0
2013-02-01,210144,TLS0615 5.125%P5,0.0,0.0,0.0,0.0,0,0,0.0
2013-02-01,210145,TLS0615 T+0.625%P5,0.0,0.0,0.0,0.0,0,0,0.0
2013-02-01,210146,TL1115 5.375% AP5,0.0,0.0,0.0,0.0,0,0,0.0
2013-02-01,210147,TL1115 T+ 0.75%AP5,0.0,0.0,0.0,0.0,0,0,0.0
2013-02-01,210148,TL SB0216 5.7% P5,0.0,0.0,0.0,0.0,0,0,0.0
2013-02-01,210149,TL SB0216 T+1.1%P5,0.0,0.0,0.0,0.0,0,0,0.0
2013-02-01,210150,TL0616 5.75%AP5,0.0,0.0,0.0,0.0,0,0,0.0
2013-02-01,210151,TL0616 T+0.9%AP5,0.0,0.0,0.0,0.0,0,0,0.0
2013-02-01,210152,TL1016 5.95%P5,0.0,0.0,0.0,0.0,0,0,0.0
2013-02-01,210153,TL1016 T+1.25%P5,0.0,0.0,0.0,0.0,0,0,0.0
2013-02-01,210154,"TL0117 5,85%P5",0.0,0.0,0.0,0.0,0,0,0.0
2013-02-01,210155,"TL0117 T+1,35%P5",0.0,0.0,0.0,0.0,0,0,0.0
2013-02-01,210156,"TL0517 6,15% AP5",0.0,0.0,0.0,0.0,0,0,0.0
2013-02-01,210157,"TL0517 T+1,75%AP5",0.0,0.0,0.0,0.0,0,0,0.0
2013-02-01,210158,"TL0519 6,25%AP7-2",0.0,0.0,0.0,0.0,0,0,0.0
2013-02-01,260099,STB0524 T+1.5%AP16,0.0,0.0,0.0,0.0,0,0,0.0
2013-02-01,260100,STB0528T+1.75%AP20,0.0,0.0,0.0,0.0,0,0,0.0
2013-02-01,260101,STB0533 T+2.0%AP25,0.0,0.0,0.0,0.0,0,0,0.0
2013-02-01,260102,STB0225 6.5%AP16,0.0,0.0,0.0,0.0,0,0,0.0
2013-02-01,260103,STB0320 T+0.70%P10,0.0,0.0,0.0,0.0,0,0,0.0
2013-02-01,260104,STB0325 5.30%P15,0.0,0.0,0.0,0.0,0,0,0.0
2013-02-01,260105,"STB SB0119 6,1P7",0.0,0.0,0.0,0.0,0,0,0.0
2013-02-01,260106,"STB SB0122T+1,3P10",0.0,0.0,0.0,0.0,0,0,0.0
2013-02-01,310067,BNA0424 5.4%AP15,0.0,0.0,0.0,0.0,0,0,0.0
2013-02-01,340026,AB 0117 T+1% AP10,0.0,0.0,0.0,0.0,0,0,0.0
2013-02-01,340032,AB0523 6.5%AP15,0.0,0.0,0.0,0.0,0,0,0.0
2013-02-01,340033,AB0528 7.0%AP20,0.0,0.0,0.0,0.0,0,0,0.0
2013-02-01,340034,ABSB0924 5.45%P15,0.0,0.0,0.0,0.0,0,0,0.0
2013-02-01,340035,ABSB0924 T+0.85P15,0.0,0.0,0.0,0.0,0,0,0.0
2013-02-01,340040,AB0825 T+0.85%AP15,0.0,0.0,0.0,0.0,0,0,0.0
2013-02-01,340041,ABSB0921 6.1%P10,0.0,0.0,0.0,0.0,0,0,0.0
2013-02-01,340042,ABSB0921 T+1%P10,0.0,0.0,0.0,0.0,0,0,0.0
2013-02-01,340043,"ABSUB0922 6,25%P10",0.0,0.0,0.0,0.0,0,0,0.0
2013-02-01,340044,"ABSUB0922T+1,3%P10",0.0,0.0,0.0,0.0,0,0,0.0
2013-02-01,360047,ATB0517T+0.75%AP10,0.0,0.0,0.0,0.0,0,0,0.0
2013-02-01,360048,ATB0523T+1.25%AP16,0.0,0.0,0.0,0.0,0,0,0.0
2013-02-01,360049,ATB0527T+1.75%AP20,0.0,0.0,0.0,0.0,0,0,0.0
2013-02-01,360050,ATB0532T+2.0%AP25,0.0,0.0,0.0,0.0,0,0,0.0
2013-02-01,360055,ATB0516T+0.5P7-2,0.0,0.0,0.0,0.0,0,0,0.0
2013-02-01,360056,ATB0519T+0.75P10-2,0.0,0.0,0.0,0.0,0,0,0.0
