SEANCE,CODE,VALEUR,OUVERTURE,CLOTURE,PLUS_BAS,PLUS_HAUT,QUANTITE_NEGOCIEE,NB_TRANSACTION,CAPITAUX
2009-02-01,100010,MONOPRIX,120.47,120.47,120.47,120.47,2,1,240.94
2009-02-01,110025,SFBT,10.6,10.6,10.55,10.7,9803,2510,3837.0
2009-02-01,120040,TUNISAIR,2.65,2.65,2.6,2.68,14310,313,7687.36
2009-02-01,130055,BTE (ADP),31.05,31.5,31.05,31.5,271,2,8419.05
2009-02-01,140070,SPDIT - SICAF,0.0,0.0,0.0,0.0,0,0,0.0
2009-02-01,160015,ATTIJARI BANK,13.9,14.0,13.8,14.0,3850,255,3580.15
2009-02-01,180045,BIAT,37.48,37.48,37.48,37.48,193,6,7233.64
2009-02-01,190060,BH,23.29,23.98,23.29,23.98,12438,5329,3401.55
2009-02-01,210090,TUNISIE LEASING,23.0,22.99,22.98,23.0,1432,53,2909.78
2009-02-01,220005,BT,111.7,115.0,109.6,115.0,930,3010,3603.72
2009-02-01,260095,STB,9.1,9.0,9.0,9.1,4325,103,8925.1
2009-02-01,310060,BNA,9.0,9.0,9.0,9.0,20,1,180.0
2009-02-01,340005,AMEN BANK,33.4,33.0,32.98,33.4,1301,124,3098.81
2009-02-01,360035,ATB,5.32,5.52,5.32,5.52,2159,201,1802.95
2009-02-01,390010,UIB,12.39,12.65,12.37,12.7,7044,298,7989.6
2009-02-01,400005,SIMPAR,0.0,0.0,0.0,0.0,0,0,0.0
2009-02-01,410020,TUNINVEST-SICAR,13.59,13.6,13.57,13.6,540,4,7328.7
2009-02-01,420085,CIL,17.6,18.03,17.6,18.03,6326,6311,3616.06
2009-02-01,470010,ATL,3.59,3.68,3.5,3.68,4780,111,7154.2
2009-02-01,570001,POULINA GP HOLDING,6.11,6.08,6.08,6.11,7421,124,5193.89
2009-02-01,606001,STAR,91.99,91.99,91.99,91.99,10,1,919.9
2009-02-01,644001,MAGASIN GENERAL,58.2,58.12,58.12,58.2,152,5,8835.2
2009-02-01,653001,SOTETEL,9.51,9.85,9.51,9.85,54,4,515.24
2009-02-01,656001,SOTUVER,0.0,0.0,0.0,0.0,0,0,0.0
2009-02-01,659001,SIAME,1.37,1.37,1.37,1.38,2178,5,2988.86
2009-02-01,665001,ELECTROSTAR,8.0,8.01,8.0,8.01,388,4,3106.88
2009-02-01,666001,SOTRAPIL,9.7,9.69,9.6,9.7,482,12,4666.85
2009-02-01,667001,SIPHAT,13.57,13.98,13.57,14.0,327,5,4567.02
2009-02-01,678001,SOMOCER,2.31,2.45,2.31,2.47,3344,16,7841.67
2009-02-01,713001,GIF-FILTER,2.66,2.69,2.66,2.69,2753,8,7323.07
2009-02-01,714001,ASSAD,9.59,9.6,9.5,9.6,5207,404,9897.4
2009-02-01,718001,SITS,2.08,2.08,2.08,2.08,300,2,624.0
2009-02-01,720001,EL WIFACK LEASING,8.47,8.49,8.47,8.49,320,2,2710.8
2009-02-01,721001,ESSOUKNA,0.0,0.0,0.0,0.0,0,0,0.0
2009-02-01,725001,ADWYA,6.2,6.3,6.09,6.3,11600,237,2545.34
2009-02-01,727001,TPR,4.75,4.74,4.74,4.77,11499,415,4655.26
2009-02-01,730001,ARTES,9.0,9.15,9.0,9.15,4016,233,6623.4
2009-02-01,230035,AIR LIQUDE TSIE,199.0,199.0,199.0,199.0,31,5,6169.0
2009-02-01,240050,UBCI,0.0,0.0,0.0,0.0,0,0,0.0
2009-02-01,250065,PLAC. TSIE-SICAF,0.0,0.0,0.0,0.0,0,0,0.0
2009-02-01,290030,PALM BEACH (AA),0.0,0.0,0.0,0.0,0,0,0.0
2009-02-01,300045,ASTREE,0.0,0.0,0.0,0.0,0,0,0.0
