SEANCE,CODE,OUVERTURE,CLOTURE,PLUS_BAS,PLUS_HAUT,QUANTITE_NEGOCIEE,CAPITAUX
2018-02-01,"664001                   STEQ                     7,62         7,62",0.0,7.62,0.0,0.0,0,
2018-02-01,"410020                   TUNINVEST-SICAR           6,5          6,5",0.0,6.5,0.0,0.0,0,
2018-02-01,"240050                   UBCI                    24,81        24,81",0.0,24.81,0.0,0.0,0,
2018-02-01,"768001                   ASS MULTI ITTIHAD         8,5         8,69",,8.25,8.42,8.5,202319,
2018-02-01,"430030                   SITEX                    6,25         6,25",0.0,6.25,0.0,0.0,0,
2018-02-01,"617001                   STE TUN. DU SUCRE         7,1          7,1",0.0,7.1,0.0,0.0,0,
2018-03-01,"725001                   ADWYA                    5,39         5,39",,5.35,5.35,5.39,239524,12872.65
2018-03-01,"340005                   AMEN BANK               23,99           24",,23.99,23.7,24.0,53010,12690.82
2018-03-01,"730001                   ARTES                     6,1          6,1",,6.25,6.1,6.26,850922,52504.33
2018-03-01,"714001                   ASSAD                    8,83            9",,8.99,8.83,8.99,6279,5537.82
2018-03-01,"360035                   ATB                      4,15         4,18",,4.15,4.15,4.15,5434,2253.45
2018-03-01,"774001                   ATELIER MEUBLE INT       2,49         2,49",0.0,2.49,0.0,0.0,0,
2018-03-01,"470010                   ATL                      3,09         3,09",,3.09,3.09,3.1,14586,4511.02
2018-03-01,"160015                   ATTIJARI BANK              36         36,6",3636.15,36.15,36.0,36.15,6766382,43670.93
2018-03-01,"661001                   ATTIJARI LEASING        17,88        17,88",,17.71,17.71,17.71,2163,3825.36
2018-03-01,"190060                   BH                      18,48        18,48",,18.43,18.43,18.45,6816,12556.75
2018-03-01,"180045                   BIAT                      118        118,1",118120.0,120.0,117.4,120.0,96517,113869.4
2018-03-01,"310060                   BNA                     11,61        11,61",,11.7,11.51,11.79,90113,10416.92
2018-03-01,"220005                   BT                       7,82         7,81",,7.82,7.8,7.82,1710425,133683.1
2018-03-01,"759001                   CELLCOM                   1,9         1,89",,1.9,1.9,1.9,201,38.0
2018-03-01,"420085                   CIL                     16,84        16,84",1717.3,17.3,16.4,17.3,40110,6777.14
2018-03-01,"755001                   CITY CARS               10,75        10,75",,11.07,11.0,11.07,483911,53534.23
2018-03-01,"767001                   DELICE HOLDING           16,5         16,5",,16.5,16.5,16.7,423309,698629.4
2018-03-01,"665001                   ELECTROSTAR               2,7         2,65",,2.67,2.67,2.7,3106,828.45
2018-03-01,"741001                   ENNAKL AUTOMOBILES       12,4         12,4",,12.6,12.5,12.65,4058,5087.0
2018-03-01,"721001                   ESSOUKNA                 3,69         3,69",,3.65,3.65,3.65,2102,766.5
2018-03-01,"757001                   EURO-CYCLES              26,5         26,5",,27.5,26.5,27.5,238954,64360.75
2018-03-01,"713001                   GIF-FILTER               1,48         1,48",,1.44,1.44,1.48,499133,7198.62
2018-03-01,"731013                   HANNIBAL LEASE           8,06         8,06",0.0,8.06,0.0,0.0,0,
2018-03-01,"644001                   MAGASIN GENERAL          38,6         38,6",3939.0,39.0,39.0,39.0,1001,3900.0
2018-03-01,"100010                   MONOPRIX                11,59         11,6",,11.6,11.3,11.6,160614,18612.9
2018-03-01,"762001                   MPBS                     3,12         3,12",,3.03,3.03,3.03,651,196.95
2018-03-01,"753001                   ONE TECH HOLDING        13,38         13,2",,13.78,13.2,13.78,255534,34456.94
2018-03-01,"570001                   POULINA GP HOLDING      10,91        10,91",,11.49,10.91,11.5,358927,40385.43
2018-03-01,"761001                   SAH                      15,5        15,51",,15.65,15.5,15.8,357834,55767.8
2018-03-01,"110025                   SFBT                    19,31         19,4",,19.88,19.31,19.88,5413651,5456.01
2018-03-01,"659001                   SIAME                    2,37         2,37",,2.3,2.3,2.31,10479,2408.23
2018-03-01,"400005                   SIMPAR                   42,8         42,8",4343.99,43.99,43.0,43.99,3798,16464.61
2018-03-01,"718001                   SITS                     2,35         2,35",,2.35,2.3,2.35,12496,2917.2
2018-03-01,"678001                   SOMOCER                  1,16         1,16",,1.2,1.16,1.21,64166115,76281.11
2018-03-01,"729001                   SOPAT                     ,74          ,74",,0.74,0.72,0.74,754517,5438.82
2018-03-01,"653001                   SOTETEL                  2,81         2,81",,2.82,2.82,2.82,6605,1861.2
2018-03-01,"763001                   SOTIPAPIER               3,52         3,52",,3.5,3.42,3.5,15510,539.62
2018-03-01,"666001                   SOTRAPIL                 10,7         10,7",,10.71,10.69,10.71,250516,26802.43
2018-03-01,"658001                   SOTUMAG                  1,97         1,93",,1.95,1.92,1.97,1994828,38484.46
2018-03-01,"656001                   SOTUVER                  4,94         4,94",,4.8,4.8,4.9,454421,21858.2
2018-03-01,606001                   STAR                       98           98,98100.0,100.0,98.0,100.0,314,3040.0
2018-03-01,"260095                   STB                      3,69         3,69",,3.72,3.69,3.72,15008,5561.09
2018-03-01,"744001                   TELNET HOLDING           5,86         5,86",,5.94,5.85,5.95,1678441,98402.04
2018-03-01,"727001                   TPR                       3,5         3,48",,3.4,3.4,3.5,1133425,39535.6
2018-03-01,"738001                   TUNIS RE                  8,4          8,4",,8.25,8.2,8.4,725821,60039.03
2018-03-01,"120040                   TUNISAIR                  ,43          ,43",,0.42,0.42,0.43,2467838,10427.04
2018-03-01,"210090                   TUNISIE LEASING         14,05        13,81",,14.47,14.05,14.47,100912,14572.12
2018-03-01,"769001                   UADH                     2,45         2,45",,2.46,2.45,2.46,20204,4949.2
2018-03-01,"390010                   UIB                     22,01        22,01",,22.1,22.01,22.2,6147271,35482.97
2018-03-01,"772001                   UNIMED                   7,85         7,85",7.858,8.0,7.84,8.0,155717,12275.35
2018-03-01,"720001                   WIFACK INT BANK          7,43         7,43",,7.41,7.41,7.41,7821,5794.62
2018-03-01,230035                   AIR LIQUDE TSIE            89           89,8989.0,89.0,89.0,89.0,313,2759.0
2018-03-01,"380070                   ALKIMIA                 46,35        46,35",0.0,46.35,0.0,0.0,0,
2018-03-01,"655001                   ASSURANCES SALIM         33,5         33,5",0.0,33.5,0.0,0.0,0,
2018-03-01,300045                   ASTREE                     34           34,0.0,34.0,0.0,0.0,0,
2018-03-01,"758001                   BEST LEASE               1,85          1,9",,1.85,1.85,1.85,501,92.5
2018-03-01,"130055                   BTE (ADP)               16,79        17,21",,16.8,16.79,16.8,11017,18492.78
2018-03-01,"735001                   CIMENTS DE BIZERTE       2,49          2,5",,2.49,2.49,2.49,14263,3550.74
2018-03-01,"330090                   ELBENE INDUSTRIE         3,58         3,58",0.0,3.58,0.0,0.0,0,
2018-03-01,"320075                   ICF                     28,13        28,13",,28.21,28.21,28.21,401,1128.4
2018-03-01,"672004                   MODERN LEASING           3,86         3,86",,3.86,3.86,3.86,1251,482.5
2018-03-01,"250065                   PLAC. TSIE-SICAF        40,71        40,71",0.0,40.71,0.0,0.0,0,
2018-03-01,"667001                   SIPHAT                   5,15          5,3",,5.15,5.15,5.15,11,5.15
2018-03-01,"140070                   SPDIT - SICAF             8,1          8,2",,8.1,8.1,8.1,671,542.7
2018-03-01,"664001                   STEQ                     7,62         7,62",0.0,7.62,0.0,0.0,0,
2018-03-01,"410020                   TUNINVEST-SICAR           6,5          6,5",,6.5,6.5,6.5,5501,3575.0
2018-03-01,"240050                   UBCI                    24,81        24,81",0.0,24.81,0.0,0.0,0,
2018-03-01,"768001                   ASS MULTI ITTIHAD        8,01         8,25",8.018,8.0,8.0,8.02,622553,49856.62
2018-03-01,"430030                   SITEX                    6,25         6,25",0.0,6.25,0.0,0.0,0,
2018-03-01,"617001                   STE TUN. DU SUCRE         7,1          7,1",0.0,7.1,0.0,0.0,0,
2018-04-01,"725001                   ADWYA                    5,35         5,35",,5.55,5.31,5.55,24205801,32879.21
2018-04-01,"340005                   AMEN BANK               23,99        23,99",,23.9,23.4,23.99,44010,10448.2
2018-04-01,"730001                   ARTES                    6,25         6,25",,6.26,6.19,6.26,12769,7962.76
2018-04-01,"714001                   ASSAD                    8,85         8,99",,9.09,8.85,9.11,859346,77735.14
2018-04-01,"360035                   ATB                       4,2         4,15",,4.17,4.1,4.2,1684118,69391.29
2018-04-01,"774001                   ATELIER MEUBLE INT       2,49         2,49",,2.48,2.43,2.48,1076326,26165.04
2018-04-01,"470010                   ATL                      3,09         3,09",,3.1,3.1,3.1,7003,2170.0
2018-04-01,"160015                   ATTIJARI BANK           36,16        36,15",,36.47,36.16,36.5,178731,64802.43
2018-04-01,"661001                   ATTIJARI LEASING        17,89        17,71",,17.76,17.75,17.89,6899,12235.83
2018-04-01,"190060                   BH                      18,43        18,43",18.0118,18.0,17.88,18.44,496741,90406.95
2018-04-01,180045                   BIAT                      120          120,120118.5,118.5,118.08,120.0,72015,85401.76
2018-04-01,"310060                   BNA                      11,7         11,7",,11.69,11.52,11.69,230211,26757.62
2018-04-01,"220005                   BT                       7,82         7,82",,7.82,7.81,7.99,2773648,216937.0
2018-04-01,"759001                   CELLCOM                   1,9          1,9",,1.89,1.88,1.89,11536,2173.67
2018-04-01,"420085                   CIL                     17,78         17,3",,17.78,17.78,17.78,5075,9014.46
2018-04-01,"755001                   CITY CARS               11,07        11,07",11.511,11.0,11.0,11.5,5107,5752.6
2018-04-01,"767001                   DELICE HOLDING           16,5         16,5",,16.98,16.5,16.98,13829,23359.02
2018-04-01,"665001                   ELECTROSTAR               2,7         2,67",,2.63,2.62,2.75,182523,4882.88
2018-04-01,"741001                   ENNAKL AUTOMOBILES       12,6         12,6",,12.5,12.5,12.6,4356,5460.98
2018-04-01,"721001                   ESSOUKNA                 3,65         3,65",,3.74,3.64,3.75,3756,1372.2
2018-04-01,"757001                   EURO-CYCLES                28         27,5",2828.49,28.49,28.0,28.79,115601103,26278.21
2018-04-01,"713001                   GIF-FILTER               1,44         1,44",,1.48,1.42,1.48,1856738,26865.45
2018-04-01,"731013                   HANNIBAL LEASE           8,06         8,06",,8.09,8.09,8.2,60802,49187.31
2018-04-01,644001                   MAGASIN GENERAL            39           39,38.539,39.0,38.5,39.0,7416,28724.0
2018-04-01,"100010                   MONOPRIX                 11,6         11,6",,11.5,11.27,11.5,387616,44336.23
2018-04-01,"762001                   MPBS                     3,03         3,03",,3.1,3.03,3.1,63498,19632.9
2018-04-01,"753001                   ONE TECH HOLDING        13,78        13,78",,13.6,13.42,13.8,12203491,65034.48
2018-04-01,"570001                   POULINA GP HOLDING      11,49        11,49",,11.32,11.32,11.49,4077,4623.39
2018-04-01,"761001                   SAH                      15,7        15,65",,15.79,15.7,15.88,332424,52221.96
2018-04-01,"110025                   SFBT                    19,88        19,88",,19.78,19.6,19.88,433442,85754.16
2018-04-01,"659001                   SIAME                    2,36          2,3",,2.29,2.29,2.36,11753,2692.5
2018-04-01,"400005                   SIMPAR                  43,99        43,99",,43.5,43.5,44.32,3708,16144.23
