SEANCE,CODE,VALEUR,OUVERTURE,CLOTURE,PLUS_BAS,PLUS_HAUT,QUANTITE_NEGOCIEE,NB_TRANSACTION,CAPITAUX
2008-02-01,100010,MONOPRIX,85.0,85.0,85.0,85.0,250,72,1250.0
2008-02-01,110025,SFBT,14.5,14.6,14.5,14.72,6285,229,1850.4
2008-02-01,120040,TUNISAIR,3.8,3.8,3.8,3.8,7548,162,8682.4
2008-02-01,130055,BTE (ADP),32.3,32.3,32.3,32.3,237,6,7655.1
2008-02-01,140070,SPDIT - SICAF,7.0,7.0,7.0,7.0,300,2,2100.0
2008-02-01,160015,TJARI,7.3,7.35,7.3,7.35,717,7,5249.1
2008-02-01,180045,BIAT,37.99,38.0,37.99,38.0,157,5,5965.52
2008-02-01,190060,BH,25.0,25.0,24.99,25.0,1011,102,5274.0
2008-02-01,210090,TUNISIE LEASING,15.0,15.0,14.9,15.0,3389,255,810.69
2008-02-01,220005,BT,97.5,97.5,97.5,97.5,1080,1610,5300.0
2008-02-01,260095,STB,10.5,10.75,10.5,10.75,456,3,4863.0
2008-02-01,310060,BNA,9.0,9.0,9.0,9.0,1537,171,3833.0
2008-02-01,360035,ATB,5.41,5.45,5.41,5.45,530,3,2880.5
2008-02-01,390010,UIB,13.98,13.98,13.98,13.98,120,1,1677.6
2008-02-01,400005,SIMPAR,32.3,32.3,32.3,32.3,20,1,646.0
2008-02-01,410020,TUNINVEST-SICAR,10.92,11.12,10.8,11.12,2513,212,7664.56
2008-02-01,420085,CIL,14.5,14.7,14.5,14.7,237,4,3439.9
2008-02-01,470010,ATL,3.4,3.42,3.4,3.42,37695,3912,8416.3
2008-02-01,606001,STAR,35.53,36.0,35.53,36.0,60,4,2136.5
2008-02-01,644001,MAGASIN GENERAL,28.28,27.64,27.5,28.28,605,71,6655.4
2008-02-01,653001,SOTETEL,22.21,22.48,22.2,22.48,4670,3110,3712.3
2008-02-01,656001,SOTUVER,14.85,14.85,14.85,14.85,10,1,148.5
2008-02-01,658001,SOTUMAG,1.97,1.98,1.97,1.98,1750,2,3457.5
2008-02-01,659001,SIAME,1.98,1.95,1.95,1.98,12335,272,4198.1
2008-02-01,665001,ELECTROSTAR,11.7,12.05,11.7,12.05,34,3,401.3
2008-02-01,666001,SOTRAPIL,23.9,23.9,23.9,23.9,110,2,2629.0
2008-02-01,667001,SIPHAT,17.92,17.4,17.4,17.92,296,5,5172.4
2008-02-01,678001,SOMOCER,3.15,3.1,3.1,3.15,720,5,2250.0
2008-02-01,713001,GIF,0.0,0.0,0.0,0.0,0,0,0.0
2008-02-01,714001,ASSAD,4.3,4.3,4.3,4.3,550,6,2365.0
2008-02-01,716001,KARTHAGO AIRLINES,0.0,0.0,0.0,0.0,0,0,0.0
2008-02-01,718001,SITS,2.18,2.17,2.17,2.18,2929,7,6383.21
2008-02-01,720001,EL WIFACK LEASING,6.37,6.35,6.35,6.37,555,2,3524.65
2008-02-01,721001,ESSOUKNA,4.8,4.92,4.8,4.92,440,2,2113.08
2008-02-01,725001,ADWYA,3.3,3.39,3.3,3.39,68,4,226.24
2008-02-01,727001,TPR,5.0,5.05,5.0,5.05,1441,6,7216.5
2008-02-01,170030,LA CARTE (CI),0.0,0.0,0.0,0.0,0,0,0.0
2008-02-01,230035,AIR LIQUDE TSIE,0.0,0.0,0.0,0.0,0,0,0.0
2008-02-01,240050,UBCI,0.0,0.0,0.0,0.0,0,0,0.0
2008-02-01,250065,PLAC. TSIE-SICAF,0.0,0.0,0.0,0.0,0,0,0.0
2008-02-01,290030,PALM BEACH (AA),0.0,0.0,0.0,0.0,0,0,0.0
2008-02-01,300045,ASTREE,0.0,0.0,0.0,0.0,0,0,0.0
2008-02-01,320075,ICF,65.83,65.83,65.83,65.83,3,1,197.49
2008-02-01,330090,TUNISIE LAIT,0.0,0.0,0.0,0.0,0,0,0.0
2008-02-01,340005,AMEN BANK,26.79,26.79,26.79,26.79,6654,1317,8260.66
2008-02-01,380070,ALKIMIA,0.0,0.0,0.0,0.0,0,0,0.0
2008-02-01,503001,STIP,0.0,0.0,0.0,0.0,0,0,0.0
2008-02-01,648001,EL MAZRAA,0.0,0.0,0.0,0.0,0,0,0.0
2008-02-01,661001,GENERAL LEASING,0.0,0.0,0.0,0.0,0,0,0.0
2008-02-01,664001,STEQ,13.9,13.9,13.9,13.9,1015,31,4108.5
2008-02-01,150085,AMS,0.0,0.0,0.0,0.0,0,0,0.0
2008-02-01,430030,SITEX,0.0,0.0,0.0,0.0,0,0,0.0
2008-02-01,617001,STE TUN. DU SUCRE,20.01,20.01,20.01,20.01,50,2,1000.5
2008-02-01,655001,SALIM,0.0,0.0,0.0,0.0,0,0,0.0
2008-02-01,130056,BTE611T+1.25%AP7-2,0.0,0.0,0.0,0.0,0,0,0.0
2008-02-01,160034,OCTJ0112 4.82%FIN5,0.0,0.0,0.0,0.0,0,0,0.0
2008-02-01,180054,BIAT1209 T+1%AP7-2,0.0,0.0,0.0,0.0,0,0,0.0
2008-02-01,190074,BH1208T+1.25%AP7-2,0.0,0.0,0.0,0.0,0,0,0.0
2008-02-01,210102,TLS 0408 7.40% AP5,0.0,0.0,0.0,0.0,0,0,0.0
2008-02-01,210103,TLS 0109 7.40% AP5,0.0,0.0,0.0,0.0,0,0,0.0
2008-02-01,210104,TLS 0409 7.40% AP5,99.0,99.0,99.0,99.0,80,1,3331.043
2008-02-01,210107,TL 0310 7.00%AP5,0.0,0.0,0.0,0.0,0,0,0.0
2008-02-01,210108,TL 0310 T+1.40%AP5,0.0,0.0,0.0,0.0,0,0,0.0
2008-02-01,210109,TLF 1010 7.00% AP5,0.0,0.0,0.0,0.0,0,0,0.0
2008-02-01,210110,TLV1010 T+1.40%AP5,0.0,0.0,0.0,0.0,0,0,0.0
2008-02-01,210111,TLS F1111  6.5%AP5,0.0,0.0,0.0,0.0,0,0,0.0
2008-02-01,210112,TLS V1111 T+1%AP5,0.0,0.0,0.0,0.0,0,0,0.0
2008-02-01,210117,TL 0712   7 %  AP5,0.0,0.0,0.0,0.0,0,0,0.0
2008-02-01,210118,TL0712T+1.375% AP5,0.0,0.0,0.0,0.0,0,0,0.0
2008-02-01,240059,UBC1208TX+0.75FIN7,0.0,0.0,0.0,0.0,0,0,0.0
2008-02-01,340023,AB0412 TX+1% AP10,0.0,0.0,0.0,0.0,0,0,0.0
2008-02-01,340026,AB 0117 T+1% AP10,0.0,0.0,0.0,0.0,0,0,0.0
2008-02-01,360047,ATB0517T+0.75%AP10,0.0,0.0,0.0,0.0,0,0,0.0
2008-02-01,360048,ATB0523T+1.25%AP16,0.0,0.0,0.0,0.0,0,0,0.0
2008-02-01,360049,ATB0527T+1.75%AP20,0.0,0.0,0.0,0.0,0,0,0.0
2008-02-01,360050,ATB0532T+2.0%AP25,0.0,0.0,0.0,0.0,0,0,0.0
2008-02-01,420091,CIL0909 7.50%AP7-2,0.0,0.0,0.0,0.0,0,0,0.0
2008-02-01,420092,CIL909T+1.25%AP7-2,0.0,0.0,0.0,0.0,0,0,0.0
2008-02-01,420094,CILF0310 7.5%AP7-2,0.0,0.0,0.0,0.0,0,0,0.0
2008-02-01,420095,CILV310T+1.25AP7-2,0.0,0.0,0.0,0.0,0,0,0.0
2008-02-01,420096,CIL1010 7% AP7-2,0.0,0.0,0.0,0.0,0,0,0.0
2008-02-01,420097,CIL1010T+1.25AP7-2,0.0,0.0,0.0,0.0,0,0,0.0
2008-02-01,420098,CIL0911 7% AP7-2,0.0,0.0,0.0,0.0,0,0,0.0
2008-02-01,420099,CIL0911T+1.25AP7-2,0.0,0.0,0.0,0.0,0,0,0.0
2008-02-01,420100,CILF 0310 7%  AP5,0.0,0.0,0.0,0.0,0,0,0.0
2008-02-01,420101,CILV0310T+1.25%AP5,0.0,0.0,0.0,0.0,0,0,0.0
2008-02-01,420102,CILF1012 7% AP7-2,0.0,0.0,0.0,0.0,0,0,0.0
2008-02-01,420103,CILV1012T1.25AP7-2,0.0,0.0,0.0,0.0,0,0,0.0
2008-02-01,462010,BTKD1211 6.25% AP5,0.0,0.0,0.0,0.0,0,0,0.0
2008-02-01,470016,ATL0408 7.40%  AP5,0.0,0.0,0.0,0.0,0,0,0.0
2008-02-01,470017,ATLA 0309 7.4% AP5,0.0,0.0,0.0,0.0,0,0,0.0
2008-02-01,470018,ATLB0309 T+1.5%AP5,0.0,0.0,0.0,0.0,0,0,0.0
2008-02-01,470019,ATL0809 7.25% AP5,0.0,0.0,0.0,0.0,0,0,0.0
2008-02-01,470020,ATL0809 T+1.5% AP5,0.0,0.0,0.0,0.0,0,0,0.0
2008-02-01,470021,ATL 0310 7.00%AP5,0.0,0.0,0.0,0.0,0,0,0.0
2008-02-01,470022,ATL 0310T+1.25%AP5,0.0,0.0,0.0,0.0,0,0,0.0
2008-02-01,470023,ATL 0613 6.5%AP7-2,0.0,0.0,0.0,0.0,0,0,0.0
2008-02-01,470024,ATL0812 6.5%AP5,0.0,0.0,0.0,0.0,0,0,0.0
2008-02-01,470025,"ATL0812 T+0,75%AP5",0.0,0.0,0.0,0.0,0,0,0.0
2008-02-01,526002,MBXA0909 7.5%AP7-2,0.0,0.0,0.0,0.0,0,0,0.0
2008-02-01,526003,MBXB0909 7.5%AP7-2,0.0,0.0,0.0,0.0,0,0,0.0
2008-02-01,526004,MBXC0909 7.5%AP7-2,0.0,0.0,0.0,0.0,0,0,0.0
2008-02-01,600002,UTL0312 7% AP 7-2,0.0,0.0,0.0,0.0,0,0,0.0
2008-02-01,600003,UTL0912  7% AP7-2,0.0,0.0,0.0,0.0,0,0,0.0
2008-02-01,602004,ALS08/08 7.5% AP7,0.0,0.0,0.0,0.0,0,0,0.0
2008-02-01,602005,ALS0811 7.75% AP10,0.0,0.0,0.0,0.0,0,0,0.0
2008-02-01,602006,ALS1208 7.5%AP7,0.0,0.0,0.0,0.0,0,0,0.0
2008-02-01,602007,ALS 1009 7.50% AP7,0.0,0.0,0.0,0.0,0,0,0.0
2008-02-01,619002,MORADA809 7.5AP7-2,0.0,0.0,0.0,0.0,0,0,0.0
2008-02-01,619003,MORADB809 7.5AP7-2,0.0,0.0,0.0,0.0,0,0,0.0
2008-02-01,648002,MAZ0109 7.25%AP7-2,0.0,0.0,0.0,0.0,0,0,0.0
2008-02-01,656007,SOTUV0209TX+2 FIN7,0.0,0.0,0.0,0.0,0,0,0.0
2008-02-01,660002,BAT1208 7.50%AP7-2,0.0,0.0,0.0,0.0,0,0,0.0
2008-02-01,661005,GL0708 7.40% AP7-2,0.0,0.0,0.0,0.0,0,0,0.0
2008-02-01,661006,GL1208 7.50% AP7-2,0.0,0.0,0.0,0.0,0,0,0.0
2008-02-01,661007,GL07/09 7.50%AP7-2,0.0,0.0,0.0,0.0,0,0,0.0
2008-02-01,661008,GL0710 7.5%  AP7-2,0.0,0.0,0.0,0.0,0,0,0.0
2008-02-01,661009,GLF211 7.5%  AP7-2,0.0,0.0,0.0,0.0,0,0,0.0
2008-02-01,661010,GLV211T+1.25%AP7-2,0.0,0.0,0.0,0.0,0,0,0.0
2008-02-01,661011,GL 0110  7.25% AP5,0.0,0.0,0.0,0.0,0,0,0.0
2008-02-01,670001,JMA0508 7.75% IF7,0.0,0.0,0.0,0.0,0,0,0.0
2008-02-01,670002,JMB0508 7.75% IF7,0.0,0.0,0.0,0.0,0,0,0.0
2008-02-01,671001,PMA0508 7.25%AP7-2,0.0,0.0,0.0,0.0,0,0,0.0
2008-02-01,671002,PMB0508 7.25%AP7-2,0.0,0.0,0.0,0.0,0,0,0.0
2008-02-01,672001,MLA1208 TX+1%AP7-2,0.0,0.0,0.0,0.0,0,0,0.0
2008-02-01,672002,MLB1208 TX+1%AP7-2,0.0,0.0,0.0,0.0,0,0,0.0
2008-02-01,672003,MLC1208 TX+1%AP7-2,0.0,0.0,0.0,0.0,0,0,0.0
2008-02-01,675002,AIL0810 6.5% AP5-A,0.0,0.0,0.0,0.0,0,0,0.0
2008-02-01,675003,AIL0810 6.5% AP5-B,0.0,0.0,0.0,0.0,0,0,0.0
2008-02-01,677001,PNA0509 7.50%AP7-2,0.0,0.0,0.0,0.0,0,0,0.0
2008-02-01,677002,PNB0509 7.50%AP7-2,0.0,0.0,0.0,0.0,0,0,0.0
2008-02-01,679001,TOUTA09097.5%AP7-2,0.0,0.0,0.0,0.0,0,0,0.0
2008-02-01,679002,TOUTB09097.5%AP7-2,0.0,0.0,0.0,0.0,0,0,0.0
2008-02-01,681001,SEPCM0310 7.5% AP7,0.0,0.0,0.0,0.0,0,0,0.0
2008-02-01,682002,AFRA0910 7.5%AP7-2,0.0,0.0,0.0,0.0,0,0,0.0
2008-02-01,682003,AFRB0910 7.5%AP7-2,0.0,0.0,0.0,0.0,0,0,0.0
2008-02-01,682004,AFRC0910 7.5%AP7-2,0.0,0.0,0.0,0.0,0,0,0.0
2008-02-01,682005,AFRD0910 7.5%AP7-2,0.0,0.0,0.0,0.0,0,0,0.0
2008-02-01,685001,SCLUBA6107.5%AP7-2,0.0,0.0,0.0,0.0,0,0,0.0
2008-02-01,685002,SCLUBB6107.5%AP7-2,0.0,0.0,0.0,0.0,0,0,0.0
2008-02-01,712002,SKAA06117.25%AP7-2,0.0,0.0,0.0,0.0,0,0,0.0
2008-02-01,712003,SKAB06117.25%AP7-2,0.0,0.0,0.0,0.0,0,0,0.0
2008-02-01,712004,SKAC06117.25%AP7-2,0.0,0.0,0.0,0.0,0,0,0.0
2008-02-01,712005,SKAD06117.25%AP7-2,0.0,0.0,0.0,0.0,0,0,0.0
2008-02-01,719001,UF0910 6.5%  AP5-A,0.0,0.0,0.0,0.0,0,0,0.0
