SEANCE,CODE,VALEUR,OUVERTURE,CLOTURE,PLUS_BAS,PLUS_HAUT,QUANTITE_NEGOCIEE,NB_TRANSACTION,CAPITAUX
2024-02-01,;TN00011002,54;SFBT,12.45,12.35,12.25,12.64,8663,27,10691.0
2024-02-01,;TN00014007,04;SPDIT - SICAF,8.5,8.5,0.0,0.0,0,0,0.0
2024-02-01,;TN00016001,54;ATTIJARI BANK,46.14,45.4,44.7,46.1,4186,46,18958.0
2024-02-01,;TN00018004,57;BIAT,91.9,90.85,90.2,91.2,485,23,43887.0
2024-02-01,;TN00019006,04;BH BANK,11.95,11.95,0.0,0.0,0,0,0.0
2024-02-01,;TN00021009,07;TUNISIE LEASIN,13.0,12.61,12.61,12.61,50,1,630.5
2024-02-01,;TN00022000,53;BT,5.38,5.36,5.35,5.4,21813,46,11715.0
2024-02-01,;TN00026009,55;STB,3.74,3.59,3.59,3.72,3667,10,13175.0
2024-02-01,;TN00031006,09;BNA,8.13,8.12,8.0,8.12,637,4,5130.0
2024-02-01,;TN00032007,55;ICF,71.4,71.0,69.5,71.0,423,18,29623.0
2024-02-01,;TN00034000,58;AMEN BANK,33.5,33.3,32.8,33.3,1576,14,51908.0
2024-02-01,;TN00036003,50;ATB,2.7,2.73,2.69,2.75,3794,11,10214.0
2024-02-01,;TN00039001,07;UIB,25.9,25.95,25.39,25.95,1225,9,31229.0
2024-02-01,;TN00047001,00;ATL,3.6,3.63,3.54,3.65,225,6,797.3
2024-02-01,;TN00057000,18;POULINA GP HOL,7.64,7.91,7.65,7.92,1252,32,9840.0
2024-02-01,;TN00065300,18;SOTETEL,3.6,3.6,3.58,3.65,1695,15,6113.0
2024-02-01,;TN00065600,15;SOTUVER,12.0,12.0,11.8,12.2,6004,29,71983.0
2024-02-01,;TN00065800,13;SOTUMAG,5.08,5.0,5.0,5.0,2640,22,13200.0
2024-02-01,;TN00065900,12;SIAME,3.82,3.8,3.8,3.8,65,2,247.0
2024-02-01,;TN00066100,18;ATTIJARI LEASI,16.8,16.89,16.06,17.38,6,4,99.34
2024-02-01,;TN00066600,13;SOTRAPIL,14.95,14.9,14.9,14.94,197,7,2937.0
2024-02-01,;TN00072000,17;WIFACK INT BAN,8.7,8.7,0.0,0.0,0,0,0.0
2024-02-01,;TN00072700,10;TPR,4.97,4.95,4.88,4.98,6146,24,30379.0
2024-02-01,;TN00073000,15;ARTES,6.5,6.45,6.41,6.49,4938,17,31786.0
2024-02-01,;TN00073800,17;TUNIS RE,7.2,7.06,7.06,7.06,724,2,5111.0
2024-02-01,;TN00074000,13;CARTHAGE CEMEN,1.97,1.98,1.94,1.98,53132,59,10470.0
2024-02-01,;TN00074100,12;ENNAKL AUTOMOB,12.5,12.4,12.4,12.4,100,2,1240.0
2024-02-01,;TN00074400,19;TELNET HOLDING,7.7,7.85,7.85,7.85,1,1,7.85
2024-02-01,;TN00075100,19;LAND OR,6.0,6.05,6.0,6.05,621,9,3732.0
2024-02-01,;TN00075300,17;ONE TECH HOLDI,8.92,8.5,8.39,8.7,32400,47,27260.0
2024-02-01,;TN00075400,16;NEW BODY LINE,5.3,5.2,5.2,5.2,25,1,130.0
2024-02-01,;TN00075500,15;CITY CARS,12.48,12.48,12.28,12.6,808,10,9966.0
2024-02-01,;TN00075700,13;EURO-CYCLES,15.95,15.89,15.35,16.0,3322,44,52231.0
2024-02-01,;TN00076100,17;SAH,8.0,7.99,7.9,8.0,40768,116,32408.0
2024-02-01,;TN00076200,16;MPBS,5.36,5.3,5.3,5.3,555,5,2941.0
2024-02-01,;TN00076300,15;SOTIPAPIER,5.16,5.25,5.16,5.25,712,6,3675.0
2024-02-01,;TN00076700,11;DELICE HOLDING,11.7,11.4,11.34,11.5,1989,24,22692.0
2024-02-01,;TN00077200,14;UNIMED,7.48,7.55,7.44,7.56,5403,26,40448.0
2024-02-01,;TN00077400,12;ATELIER MEUBLE,4.4,4.4,4.4,4.4,508,2,2235.0
2024-02-01,;TNDKJ8O68X,14;ASSU MAGHREBIA,6.04,6.04,6.04,6.05,484,2,2927.0
2024-02-01,;TNNGTFLC29,86;STA,19.5,20.5,20.0,20.67,326,14,6625.0
2024-02-01,;TNQPQXRODT,H8;SMART TUNISIE,16.53,16.4,16.3,16.45,1197,17,19571.0
2024-02-01,;TN00010001,08;MONOPRIX,5.14,5.13,5.13,5.3,126,3,647.4
2024-02-01,;TN00013005,57;BTE (ADP),4.97,4.97,0.0,0.0,0,0,0.0
2024-02-01,;TN00023003,58;AIR LIQUIDE TS,81.12,83.98,83.98,83.98,1,1,83.98
2024-02-01,;TN00024005,05;UBCI,22.5,22.5,22.5,22.5,200,1,4500.0
2024-02-01,;TN00025006,50;PLAC. TSIE-SIC,48.95,48.95,48.95,48.95,1,1,48.95
2024-02-01,;TN00030004,52;ASTREE,48.5,48.5,0.0,0.0,0,0,0.0
2024-02-01,;TN00040000,55;SIMPAR,35.01,35.01,0.0,0.0,0,0,0.0
2024-02-01,;TN00041002,02;TUNINVEST-SICA,9.0,9.0,0.0,0.0,0,0,0.0
2024-02-01,;TN00042008,53;CIL,19.19,18.6,18.6,18.6,900,3,16740.0
2024-02-01,;TN00060600,16;STAR,176.7,168.75,168.75,168.75,10,1,1687.0
2024-02-01,;TN00064400,10;MAGASIN GENERA,7.99,7.99,0.0,0.0,0,0,0.0
2024-02-01,;TN00065500,16;BH ASSURANCE,48.75,48.75,0.0,0.0,0,0,0.0
2024-02-01,;TN00067200,49;BH LEASING,3.24,3.38,3.38,3.38,155,4,523.9
2024-02-01,;TN00071800,11;SITS,1.7,1.71,1.71,1.71,480,1,820.8
2024-02-01,;TN00072100,16;ESSOUKNA,1.5,1.5,0.0,0.0,0,0,0.0
2024-02-01,;TN00073101,39;HANNIBAL LEASE,5.27,5.27,0.0,0.0,0,0,0.0
2024-02-01,;TN00075800,12;BEST LEASE,2.0,2.0,0.0,0.0,0,0,0.0
2024-02-01,;TN00075900,11;CELLCOM,1.59,1.59,0.0,0.0,0,0,0.0
2024-02-01,;TN00077000,16;OFFICEPLAST,1.22,1.17,0.0,0.0,0,0,0.0
2024-02-01,;TN00077300,13;SANIMED,1.26,1.26,0.0,0.0,0,0,0.0
2024-02-01,;TN00078300,11;ASSUR MAGHREBI,52.45,50.09,0.0,0.0,0,0,0.0
2024-02-01,;TN00043003,07;SITEX,4.68,4.68,0.0,0.0,0,0,0.0
2024-02-01,;TN00061700,13;STE TUN. DU SU,10.04,9.74,0.0,0.0,0,0,0.0
