SEANCE,CODE_INDICE,LIB_INDICE,INDICE_JOUR,INDICE_VEILLE,VARIATION_VEILLE,INDICE_PLUS_HAUT,INDICE_PLUS_BAS,INDICE_OUV
2015-01-02,905001,TUNINDEX,5107.86,5089.99,,35.0,5125.7,
2015-01-02,905002,INDSF,3446.08,3441.57,,133.0,465.89,
2015-01-02,905003,INDBQ,3114.94,3115.76,,33.0,136.82,
2015-01-02,905004,INDAS,9795.94,9615.8,1.0,879.0,798.87,
2015-01-02,905005,INSFI,5070.75,5051.47,,385.0,70.75,
2015-01-02,905008,INDSC,3627.68,3572.7,1.0,543.0,627.68,
2015-01-02,905009,INDDI,5564.86,5479.35,1.0,565.0,564.86,
2015-01-02,905013,INBCO,4033.45,4016.12,,434.0,38.84,
2015-01-02,905014,INAUE,2164.82,2142.67,1.0,32.0,166.46,
2015-01-02,905015,INAAB,4861.93,4861.5,,14.0,870.86,
2015-01-02,905016,INPMP,1319.36,1284.19,2.0,741.0,322.16,
2015-01-02,905017,INDIN,1557.66,1557.31,,21.0,584.42,
2015-01-02,905018,INBMC,1047.99,1051.04,,291.0,69.47,
2015-01-02,905020,INDMB,2285.44,2275.29,,452.0,285.44,
2015-01-02,905028,TUNINDEX20,2155.27,2149.76,,262.0,168.42,
2015-01-05,905001,TUNINDEX,5109.65,5107.86,,45.0,112.83,
2015-01-05,905002,INDSF,3464.49,3446.08,,533.0,467.07,
2015-01-05,905003,INDBQ,3134.12,3114.94,,623.0,137.92,
2015-01-05,905004,INDAS,9731.46,9795.94,,669.0,772.49,
2015-01-05,905005,INSFI,5101.04,5070.75,,0.65,101.04,
2015-01-05,905008,INDSC,3618.15,3627.68,,263.0,630.74,
2015-01-05,905009,INDDI,5555.88,5564.86,,165.0,573.17,
2015-01-05,905013,INBCO,4023.23,4033.45,,254.0,33.65,
2015-01-05,905014,INAUE,2142.43,2164.82,1.0,32.0,164.82,
2015-01-05,905015,INAAB,4852.02,4861.93,,0.24,863.62,
2015-01-05,905016,INPMP,1315.8,1319.36,,27.0,1322.0,
2015-01-05,905017,INDIN,1538.61,1557.66,1.0,22.0,1564.1,
2015-01-05,905018,INBMC,1029.76,1047.99,1.0,741.0,51.43,
2015-01-05,905020,INDMB,2257.12,2285.44,1.0,242.0,271.94,
2015-01-05,905028,TUNINDEX20,2156.66,2155.27,,62.0,158.67,
2015-01-06,905001,TUNINDEX,5087.65,5109.65,,435.0,91.51,
2015-01-06,905002,INDSF,3452.93,3464.49,,333.0,453.15,
2015-01-06,905003,INDBQ,3121.59,3134.12,,0.43,121.83,
2015-01-06,905004,INDAS,9666.33,9731.46,,679.0,713.87,
2015-01-06,905005,INSFI,5122.97,5101.04,,435.0,122.97,
