SEANCE,CODE_INDICE,LIB_INDICE,INDICE_JOUR,INDICE_VEILLE,VARIATION_VEILLE,INDICE_PLUS_HAUT,INDICE_PLUS_BAS
2022-07-01,905018,BATIM MATE CONSTRU,566.38,570.01,-0.637,570.01,562.86
2022-07-01,905020,MATERIAUX DE BASE ,3451.52,3496.54,-1.288,3535.11,3451.52
2022-07-01,905028,TUNINDEX20        ,3013.83,3000.81,0.434,3013.83,3000.38
2022-10-01,905001,TUNINDEX          ,6976.1,6984.85,-0.125,6984.86,6960.3
2022-10-01,905002,STES FINANCIERES  ,4282.4,4286.22,-0.089,4289.02,4253.05
2022-10-01,905003,BANQUES           ,3913.28,3916.58,-0.084,3916.58,3882.35
2022-10-01,905004,ASSURANCES        ,12272.43,12286.96,-0.118,12468.03,12253.35
2022-10-01,905005,SERVICES FINANCIER,5785.05,5792.4,-0.127,5860.5,5785.05
2022-10-01,905008,SERVICES AUX CONSO,2745.65,2750.03,-0.159,2758.85,2737.32
2022-10-01,905009,DISTRIBUTION      ,4325.76,4332.66,-0.159,4346.56,4312.63
2022-10-01,905013,BIENS CONSOMMATION,8793.19,8802.37,-0.104,8813.82,8703.7
2022-10-01,905015,AGROALIMENT BOISSO,11392.96,11398.91,-0.052,11404.65,11271.32
2022-10-01,905016,PROD MENAGER SOIN ,2411.16,2413.5,-0.097,2427.36,2376.6
2022-10-01,905017,INDUSTRIES        ,1301.99,1310.6,-0.657,1317.98,1301.99
2022-10-01,905018,BATIM MATE CONSTRU,561.03,566.37,-0.943,570.01,561.03
2022-10-01,905020,MATERIAUX DE BASE ,3497.25,3451.52,1.325,3535.11,3451.52
2022-10-01,905028,TUNINDEX20        ,3008.98,3013.83,-0.161,3013.83,3000.38
2022-11-01,905001,TUNINDEX          ,6992.64,6976.1,0.237,6992.64,6960.3
2022-11-01,905002,STES FINANCIERES  ,4306.86,4282.4,0.571,4306.86,4253.05
2022-11-01,905003,BANQUES           ,3936.76,3913.27,0.6,3936.76,3882.35
2022-11-01,905004,ASSURANCES        ,12384.09,12272.43,0.91,12468.03,12253.35
2022-11-01,905005,SERVICES FINANCIER,5766.49,5785.05,-0.321,5860.5,5766.49
2022-11-01,905008,SERVICES AUX CONSO,2750.34,2745.64,0.171,2758.85,2737.32
