SEANCE,CODE_INDICE,LIB_INDICE,INDICE_JOUR,INDICE_VEILLE,VARIATION_VEILLE,INDICE_PLUS_HAUT,INDICE_PLUS_BAS
2023-02-01,905001,TUNINDEX          ,8094.198,8109.677,-0.191,8094.198,8094.198
2023-02-01,905002,STES FINANCIERES  ,5813.314,5782.034,0.541,5813.314,5813.314
2023-02-01,905003,BANQUES           ,5439.871,5409.634,0.559,5439.871,5439.871
2023-02-01,905004,ASSURANCES        ,13340.797,13323.032,0.133,13340.797,13340.797
2023-02-01,905005,SERVICES FINANCIER,6921.519,6875.309,0.672,6921.519,6921.519
2023-02-01,905008,SERVICES AUX CONSO,2953.461,2959.954,-0.219,2953.461,2953.461
2023-02-01,905009,DISTRIBUTION      ,4653.165,4663.394,-0.219,4653.165,4653.165
2023-02-01,905013,BIENS CONSOMMATION,7310.142,7454.067,-1.931,7310.142,7310.142
2023-02-01,905015,AGROALIMENT BOISSO,8895.573,9079.63,-2.027,8895.573,8895.573
2023-02-01,905016,PROD MENAGER SOIN ,2400.851,2442.881,-1.721,2400.851,2400.851
2023-02-01,905017,INDUSTRIES        ,1478.185,1477.184,0.068,1478.185,1478.185
2023-02-01,905018,BATIM MATE CONSTRU,711.282,710.518,0.108,711.282,711.282
2023-02-01,905020,MATERIAUX DE BASE ,3982.887,3988.751,-0.147,3982.887,3982.887
2023-02-01,905028,TUNINDEX20        ,3589.212,3592.208,-0.083,3589.212,3589.212
2023-03-01,905001,TUNINDEX          ,8069.255,8094.198,-0.308,8094.198,8069.255
2023-03-01,905002,STES FINANCIERES  ,5815.267,5813.314,0.034,5815.267,5813.314
2023-03-01,905003,BANQUES           ,5440.1,5439.871,0.004,5440.1,5439.871
2023-03-01,905004,ASSURANCES        ,13304.355,13340.797,-0.273,13340.797,13304.355
2023-03-01,905005,SERVICES FINANCIER,6991.711,6921.519,1.014,6991.711,6921.519
2023-03-01,905008,SERVICES AUX CONSO,2959.445,2953.461,0.203,2959.445,2953.461
2023-03-01,905009,DISTRIBUTION      ,4662.594,4653.165,0.203,4662.594,4653.165
2023-03-01,905013,BIENS CONSOMMATION,7238.6,7310.142,-0.979,7310.142,7238.6
2023-03-01,905015,AGROALIMENT BOISSO,8806.167,8895.573,-1.005,8895.573,8806.167
2023-03-01,905016,PROD MENAGER SOIN ,2378.155,2400.851,-0.945,2400.851,2378.155
2023-03-01,905017,INDUSTRIES        ,1464.869,1478.185,-0.901,1478.185,1464.869
2023-03-01,905018,BATIM MATE CONSTRU,708.104,711.282,-0.447,711.282,708.104
