SEANCE,CODE_INDICE,LIB_INDICE,INDICE_JOUR,INDICE_VEILLE,VARIATION_VEILLE,INDICE_PLUS_HAUT,INDICE_PLUS_BAS,INDICE_OUV
2016-01-04,905001,TUNINDEX,5089.89,5042.16,0.95,5089.89,5038.91,5050.1
2016-01-04,905002,INDSF,3546.33,3523.79,0.64,3560.17,3531.27,3531.27
2016-01-04,905003,INDBQ,3177.74,3158.49,0.61,3196.27,3165.71,3166.14
2016-01-04,905004,INDAS,9945.94,9789.53,1.6,9945.94,9801.29,9801.29
2016-01-04,905005,INSFI,5631.63,5615.89,0.28,5634.1,5615.37,5615.37
2016-01-04,905008,INDSC,3249.11,3285.71,-1.11,3289.08,3227.13,3285.71
2016-01-04,905009,INDDI,5060.96,5123.8,-1.23,5123.8,5025.1,5123.8
2016-01-04,905013,INBCO,4529.59,4431.6,2.21,4529.59,4380.2,4437.38
2016-01-04,905014,INAUE,1555.1,1536.44,1.21,1555.1,1521.84,1541.68
2016-01-04,905015,INAAB,5502.76,5380.23,2.28,5502.76,5294.07,5388.67
2016-01-04,905016,INPMP,1597.22,1565.21,2.05,1601.24,1570.66,1581.63
2016-01-04,905017,INDIN,1100.4,1084.4,1.48,1101.71,1083.21,1085.85
2016-01-04,905018,INBMC,696.59,680.89,2.31,697.68,679.36,680.89
2016-01-04,905020,INDMB,1783.5,1750.63,1.88,1783.5,1750.63,1750.63
2016-01-04,905028,TUNINDEX20,2133.23,2113.71,0.92,2133.23,2110.0,2117.53
2016-01-05,905001,TUNINDEX,5141.03,5089.89,1.0,5141.06,5080.42,5087.6
2016-01-05,905002,INDSF,3553.03,3546.33,0.19,3556.2,3540.22,3540.22
2016-01-05,905003,INDBQ,3185.85,3177.74,0.26,3188.38,3171.87,3171.87
2016-01-05,905004,INDAS,9809.58,9945.94,-1.37,9945.64,9786.22,9945.64
2016-01-05,905005,INSFI,5666.93,5631.63,0.63,5666.93,5621.56,5621.87
2016-01-05,905008,INDSC,3238.56,3249.11,-0.32,3262.61,3209.05,3261.74
2016-01-05,905009,INDDI,5041.31,5060.96,-0.39,5082.99,4998.39,5081.58
2016-01-05,905013,INBCO,4653.73,4529.59,2.74,4653.73,4486.87,4530.69
2016-01-05,905014,INAUE,1543.28,1555.1,-0.76,1558.6,1531.76,1555.1
2016-01-05,905015,INAAB,5652.89,5502.76,2.73,5652.89,5422.3,5502.15
2016-01-05,905016,INPMP,1655.74,1597.22,3.66,1666.24,1600.1,1600.1
2016-01-05,905017,INDIN,1134.94,1100.4,3.14,1136.09,1105.19,1105.19
2016-01-05,905018,INBMC,720.79,696.59,3.47,720.79,697.92,697.92
2016-01-05,905020,INDMB,1797.26,1783.5,0.77,1802.65,1765.52,1772.18
2016-01-05,905028,TUNINDEX20,2153.09,2133.23,0.93,2153.09,2130.15,2131.37
2016-01-06,905001,TUNINDEX,5176.11,5141.03,0.68,5177.09,5142.58,5148.9
2016-01-06,905002,INDSF,3599.3,3553.03,1.3,3606.13,3556.31,3565.24
