SEANCE,CODE_INDICE,LIB_INDICE,INDICE_JOUR,INDICE_VEILLE,VARIATION_VEILLE,INDICE_PLUS_HAUT,INDICE_PLUS_BAS,INDICE_OUV
2008-05-30,905001,TUNINDEX,2957.56,2950.88,0.23,2958.27,2943.14,2946.62
2008-05-30,905002,INDSF,1989.41,1988.37,0.05,1991.82,1983.22,1987.17
2008-05-30,905003,INDBQ,1849.15,1849.66,-0.03,1851.66,1844.02,1848.68
2008-05-30,905005,INSFI,2693.44,2689.43,0.15,2702.92,2664.39,2683.1
2008-05-30,905008,INDSC,2190.54,2182.18,0.38,2192.78,2180.21,2180.21
2008-05-30,905013,INBCO,1838.89,1820.62,1.0,1843.16,1807.45,1808.78
2008-05-30,905014,INAUE,1265.02,1247.34,1.42,1265.02,1233.84,1240.46
2008-05-30,905017,INDIN,787.88,788.09,-0.03,789.78,780.01,788.27
2008-05-30,905018,INBMC,713.74,712.49,0.18,715.32,702.89,713.39
2008-06-02,905001,TUNINDEX,2961.87,2957.56,0.15,2970.14,2951.67,2962.93
2008-06-02,905002,INDSF,1996.6,1989.41,0.36,1998.79,1990.93,1993.57
2008-06-02,905003,INDBQ,1854.65,1849.15,0.3,1858.07,1849.05,1854.3
2008-06-02,905005,INSFI,2752.19,2693.44,2.18,2752.19,2668.53,2668.53
2008-06-02,905008,INDSC,2214.85,2190.54,1.11,2214.85,2183.0,2190.54
2008-06-02,905013,INBCO,1817.19,1838.89,-1.18,1845.18,1815.01,1839.8
2008-06-02,905014,INAUE,1304.65,1265.02,3.13,1304.65,1270.18,1270.18
2008-06-02,905017,INDIN,798.16,787.88,1.3,808.59,789.59,789.59
2008-06-02,905018,INBMC,721.34,713.74,1.06,734.63,714.35,715.92
2008-06-03,905001,TUNINDEX,2962.52,2961.87,0.02,2962.52,2954.74,2960.69
2008-06-03,905002,INDSF,2000.25,1996.6,0.18,2000.25,1993.26,1996.87
2008-06-03,905003,INDBQ,1856.72,1854.65,0.11,1856.72,1852.64,1855.06
2008-06-03,905005,INSFI,2765.06,2752.19,0.47,2776.58,2752.36,2761.16
2008-06-03,905008,INDSC,2190.45,2214.85,-1.1,2208.61,2185.34,2203.44
2008-06-03,905013,INBCO,1816.23,1817.19,-0.05,1818.42,1810.71,1817.19
2008-06-03,905014,INAUE,1288.85,1304.65,-1.21,1306.31,1286.88,1304.65
2008-06-03,905017,INDIN,805.16,798.16,0.88,808.72,800.27,800.27
2008-06-03,905018,INBMC,722.28,721.34,0.13,725.97,718.35,720.29
2008-06-04,905001,TUNINDEX,2967.47,2962.52,0.17,2967.47,2906.27,2911.87
2008-06-04,905002,INDSF,2002.15,2000.25,0.09,2003.22,1996.19,2000.53
2008-06-04,905003,INDBQ,1856.13,1856.72,-0.03,1858.67,1852.75,1856.57
2008-06-04,905005,INSFI,2773.73,2765.06,0.31,2776.22,2759.73,2774.58
2008-06-04,905008,INDSC,2192.69,2190.45,0.1,2196.28,2176.57,2196.28
2008-06-04,905013,INBCO,1818.55,1816.23,0.13,1818.77,1811.69,1815.93
2008-06-04,905014,INAUE,1297.43,1288.85,0.67,1306.66,1283.85,1287.13
2008-06-04,905017,INDIN,812.38,805.16,0.9,812.38,796.84,805.16
2008-06-04,905018,INBMC,720.04,722.28,-0.31,722.28,709.89,722.28
2008-06-05,905001,TUNINDEX,2988.19,2967.47,0.7,2988.19,2959.11,2959.11
2008-06-05,905002,INDSF,2019.93,2002.15,0.89,2019.93,1995.75,1995.87
2008-06-05,905003,INDBQ,1872.94,1856.13,0.91,1874.91,1851.95,1852.07
2008-06-05,905005,INSFI,2750.27,2773.73,-0.85,2761.53,2710.55,2710.55
2008-06-05,905008,INDSC,2197.82,2192.69,0.23,2203.71,2179.76,2179.76
2008-06-05,905013,INBCO,1825.96,1818.55,0.41,1827.32,1809.19,1815.9
2008-06-05,905014,INAUE,1287.32,1297.43,-0.78,1298.29,1282.67,1290.55
2008-06-05,905017,INDIN,816.8,812.38,0.54,816.8,804.5,812.38
2008-06-05,905018,INBMC,712.68,720.04,-1.02,720.04,706.26,720.04
2008-06-06,905001,TUNINDEX,2991.14,2988.19,0.1,3009.86,2984.06,2999.99
2008-06-06,905002,INDSF,2022.51,2019.93,0.13,2040.25,2015.89,2032.38
2008-06-06,905003,INDBQ,1874.56,1872.94,0.09,1893.63,1869.1,1886.07
2008-06-06,905005,INSFI,2710.57,2750.27,-1.44,2750.27,2697.13,2750.27
2008-06-06,905008,INDSC,2210.93,2197.82,0.6,2215.29,2200.4,2200.4
2008-06-06,905013,INBCO,1812.45,1825.96,-0.74,1828.12,1807.92,1825.66
2008-06-06,905014,INAUE,1283.54,1287.32,-0.29,1299.75,1280.07,1299.75
2008-06-06,905017,INDIN,820.87,816.8,0.5,826.53,812.93,816.7
2008-06-06,905018,INBMC,724.09,712.68,1.6,725.73,710.86,710.86
2008-06-09,905001,TUNINDEX,2995.24,2991.14,0.14,2995.24,2980.11,2989.9
2008-06-09,905002,INDSF,2028.67,2022.51,0.3,2028.67,2015.96,2020.75
2008-06-09,905003,INDBQ,1876.59,1874.56,0.11,1876.59,1866.03,1872.7
2008-06-09,905005,INSFI,2731.13,2710.57,0.76,2731.13,2710.57,2710.57
2008-06-09,905008,INDSC,2192.02,2210.93,-0.86,2210.93,2187.67,2210.93
2008-06-09,905013,INBCO,1815.37,1812.45,0.16,1815.37,1802.76,1815.27
2008-06-09,905014,INAUE,1289.62,1283.54,0.47,1293.09,1280.29,1287.87
2008-06-09,905017,INDIN,813.51,820.87,-0.9,815.85,807.95,815.85
2008-06-09,905018,INBMC,714.73,724.09,-1.29,716.0,709.47,716.0
2008-06-10,905001,TUNINDEX,2994.99,2995.24,-0.01,2997.11,2982.73,2995.25
2008-06-10,905002,INDSF,2028.83,2028.67,0.01,2031.91,2017.15,2025.52
2008-06-10,905003,INDBQ,1869.57,1876.59,-0.37,1877.42,1860.78,1872.07
2008-06-10,905005,INSFI,2761.59,2731.13,1.12,2761.59,2715.16,2715.16
2008-06-10,905008,INDSC,2192.02,2192.02,0.0,2192.02,2183.11,2184.74
2008-06-10,905013,INBCO,1822.16,1815.37,0.37,1822.16,1813.28,1816.9
2008-06-10,905014,INAUE,1327.89,1289.62,2.97,1327.89,1297.12,1298.47
2008-06-10,905017,INDIN,809.56,813.51,-0.49,813.45,805.01,809.86
2008-06-10,905018,INBMC,718.9,714.73,0.58,723.01,712.37,713.94
2008-06-11,905001,TUNINDEX,3004.81,2994.99,0.33,3004.81,2992.96,2996.35
2008-06-11,905002,INDSF,2034.36,2028.83,0.27,2035.95,2028.4,2030.82
2008-06-11,905003,INDBQ,1873.13,1869.57,0.19,1874.39,1866.85,1872.82
2008-06-11,905005,INSFI,2750.38,2761.59,-0.41,2766.85,2728.69,2728.69
2008-06-11,905008,INDSC,2218.01,2192.02,1.19,2223.18,2192.3,2197.85
2008-06-11,905013,INBCO,1825.79,1822.16,0.2,1825.79,1811.04,1816.83
2008-06-11,905014,INAUE,1350.28,1327.89,1.69,1350.28,1319.04,1327.89
2008-06-11,905017,INDIN,799.8,809.56,-1.21,808.33,797.13,808.33
2008-06-11,905018,INBMC,710.7,718.9,-1.14,717.33,706.45,717.33
2008-06-12,905001,TUNINDEX,3003.91,3004.81,-0.03,3006.95,2990.92,3006.95
2008-06-12,905002,INDSF,2034.52,2034.36,0.01,2037.8,2024.38,2037.29
2008-06-12,905003,INDBQ,1867.31,1873.13,-0.31,1875.96,1859.54,1875.96
2008-06-12,905005,INSFI,2824.25,2750.38,2.69,2827.66,2747.72,2747.72
2008-06-12,905008,INDSC,2216.09,2218.01,-0.09,2217.63,2207.21,2212.84
2008-06-12,905013,INBCO,1817.93,1825.79,-0.43,1825.37,1812.29,1825.37
2008-06-12,905014,INAUE,1366.59,1350.28,1.21,1368.36,1348.04,1354.08
2008-06-12,905017,INDIN,809.49,799.8,1.21,810.82,794.62,794.62
2008-06-12,905018,INBMC,716.17,710.7,0.77,716.17,707.86,708.34
2008-06-13,905001,TUNINDEX,2997.61,3003.91,-0.21,3005.75,2989.64,2999.31
2008-06-13,905002,INDSF,2030.95,2034.52,-0.18,2038.41,2022.32,2033.11
2008-06-13,905003,INDBQ,1857.43,1867.31,-0.53,1867.62,1848.89,1865.75
2008-06-13,905005,INSFI,2888.46,2824.25,2.27,2920.69,2857.69,2857.69
2008-06-13,905008,INDSC,2212.02,2216.09,-0.18,2216.6,2206.26,2211.43
2008-06-13,905013,INBCO,1812.72,1817.93,-0.29,1819.86,1807.51,1807.98
2008-06-13,905014,INAUE,1378.29,1366.59,0.86,1389.75,1370.7,1370.7
2008-06-13,905017,INDIN,802.79,809.49,-0.83,810.23,802.59,807.11
2008-06-13,905018,INBMC,711.34,716.17,-0.67,711.34,706.2,708.56
2008-06-16,905001,TUNINDEX,2997.24,2997.61,-0.01,3001.85,2973.48,2973.48
2008-06-16,905002,INDSF,2029.99,2030.95,-0.05,2035.25,2010.93,2010.93
2008-06-16,905003,INDBQ,1852.9,1857.43,-0.24,1861.81,1837.5,1837.5
2008-06-16,905005,INSFI,2881.49,2888.46,-0.24,2881.49,2852.82,2861.52
2008-06-16,905008,INDSC,2205.13,2212.02,-0.31,2210.28,2192.05,2193.34
2008-06-16,905013,INBCO,1820.63,1812.72,0.44,1821.9,1809.09,1811.09
2008-06-16,905014,INAUE,1369.86,1378.29,-0.61,1387.4,1361.9,1387.4
2008-06-16,905017,INDIN,792.49,802.79,-1.28,805.99,790.87,802.31
2008-06-16,905018,INBMC,702.95,711.34,-1.18,715.48,700.88,715.48
2008-06-17,905001,TUNINDEX,2985.6,2997.24,-0.39,2998.4,2978.63,2992.88
2008-06-17,905002,INDSF,2014.58,2029.99,-0.76,2033.2,2013.57,2026.87
2008-06-17,905003,INDBQ,1830.11,1852.9,-1.23,1851.94,1829.59,1849.45
2008-06-17,905005,INSFI,2871.03,2881.49,-0.36,2873.02,2841.78,2853.57
2008-06-17,905008,INDSC,2208.64,2205.13,0.16,2209.8,2186.53,2193.06
2008-06-17,905013,INBCO,1831.74,1820.63,0.61,1831.74,1814.24,1814.39
2008-06-17,905014,INAUE,1361.62,1369.86,-0.6,1363.67,1345.69,1363.67
2008-06-17,905017,INDIN,789.46,792.49,-0.38,796.06,789.03,796.06
2008-06-17,905018,INBMC,702.03,702.95,-0.13,707.5,701.49,707.5
2008-06-18,905001,TUNINDEX,3014.46,2985.6,0.97,3014.7,2987.79,2997.95
2008-06-18,905002,INDSF,2038.4,2014.58,1.18,2038.4,2015.32,2025.92
2008-06-18,905003,INDBQ,1846.96,1830.11,0.92,1846.96,1829.86,1842.51
2008-06-18,905005,INSFI,2926.86,2871.03,1.94,2926.86,2859.49,2859.49
2008-06-18,905008,INDSC,2202.33,2208.64,-0.29,2208.64,2185.37,2185.37
2008-06-18,905013,INBCO,1852.07,1831.74,1.11,1859.8,1834.4,1836.25
2008-06-18,905014,INAUE,1383.22,1361.62,1.59,1383.22,1351.42,1361.62
