SEANCE,CODE_INDICE,LIB_INDICE,INDICE_JOUR,INDICE_VEILLE,VARIATION_VEILLE,INDICE_PLUS_HAUT,INDICE_PLUS_BAS
2024-08-01,905017,INDUSTRIES        ,1607.88,1618.221,-0.639,1634.879,1607.88
2024-08-01,905018,BATIM MATE CONSTRU,697.739,704.428,-0.95,716.699,697.739
2024-08-01,905020,MATERIAUX DE BASE ,3853.509,3887.416,-0.872,3924.419,3853.509
2024-08-01,905028,TUNINDEX20        ,3727.844,3743.16,-0.409,3802.654,3727.844
2024-09-01,905001,TUNINDEX          ,8483.787,8515.241,-0.369,8691.005,8483.787
2024-09-01,905002,STES FINANCIERES  ,6377.871,6399.208,-0.333,6495.221,6377.871
2024-09-01,905003,BANQUES           ,5960.363,5974.325,-0.234,6053.854,5960.363
2024-09-01,905004,ASSURANCES        ,13001.46,13276.578,-2.072,13901.307,13001.46
2024-09-01,905005,SERVICES FINANCIER,9103.422,9097.072,0.07,9255.542,9097.072
2024-09-01,905008,SERVICES AUX CONSO,2947.368,2959.441,-0.408,2995.579,2947.368
2024-09-01,905009,DISTRIBUTION      ,4643.565,4662.587,-0.408,4719.522,4643.565
2024-09-01,905013,BIENS CONSOMMATION,6741.208,6764.996,-0.352,7007.386,6741.208
2024-09-01,905015,AGROALIMENT BOISSO,8377.754,8422.201,-0.528,8712.78,8377.754
2024-09-01,905016,PROD MENAGER SOIN ,2086.83,2082.816,0.193,2165.76,2082.816
2024-09-01,905017,INDUSTRIES        ,1606.154,1607.88,-0.107,1634.879,1606.154
2024-09-01,905018,BATIM MATE CONSTRU,701.639,697.739,0.559,716.699,697.739
2024-09-01,905020,MATERIAUX DE BASE ,3795.01,3853.509,-1.518,3924.419,3795.01
2024-09-01,905028,TUNINDEX20        ,3715.097,3727.844,-0.342,3802.654,3715.097
2024-10-01,905001,TUNINDEX          ,8425.591,8483.787,-0.686,8691.005,8425.591
2024-10-01,905002,STES FINANCIERES  ,6343.089,6377.871,-0.545,6495.221,6343.089
2024-10-01,905003,BANQUES           ,5938.655,5960.363,-0.364,6053.854,5938.655
2024-10-01,905004,ASSURANCES        ,12666.446,13001.46,-2.577,13901.307,12666.446
2024-10-01,905005,SERVICES FINANCIER,8965.786,9103.422,-1.512,9255.542,8965.786
2024-10-01,905008,SERVICES AUX CONSO,2909.846,2947.368,-1.273,2995.579,2909.846
2024-10-01,905009,DISTRIBUTION      ,4584.45,4643.565,-1.273,4719.522,4584.45
2024-10-01,905013,BIENS CONSOMMATION,6679.153,6741.208,-0.921,7007.386,6679.153
2024-10-01,905015,AGROALIMENT BOISSO,8296.042,8377.754,-0.975,8712.78,8296.042
2024-10-01,905016,PROD MENAGER SOIN ,2070.894,2086.83,-0.764,2165.76,2070.894
2024-10-01,905017,INDUSTRIES        ,1595.649,1606.154,-0.654,1634.879,1595.649
2024-10-01,905018,BATIM MATE CONSTRU,695.707,701.639,-0.845,716.699,695.707
2024-10-01,905020,MATERIAUX DE BASE ,3795.01,3795.01,0.0,3924.419,3795.01
2024-10-01,905028,TUNINDEX20        ,3695.266,3715.097,-0.534,3802.654,3695.266
2024-11-01,905001,TUNINDEX          ,8434.086,8425.591,0.101,8691.005,8425.591
2024-11-01,905002,STES FINANCIERES  ,6354.119,6343.089,0.174,6495.221,6343.089
2024-11-01,905003,BANQUES           ,5937.177,5938.655,-0.025,6053.854,5937.177
2024-11-01,905004,ASSURANCES        ,12962.814,12666.446,2.34,13901.307,12666.446
2024-11-01,905005,SERVICES FINANCIER,9092.05,8965.786,1.408,9255.542,8965.786
2024-11-01,905008,SERVICES AUX CONSO,2938.875,2909.846,0.998,2995.579,2909.846
2024-11-01,905009,DISTRIBUTION      ,4630.184,4584.45,0.998,4719.522,4584.45
2024-11-01,905013,BIENS CONSOMMATION,6672.578,6679.153,-0.098,7007.386,6672.578
2024-11-01,905015,AGROALIMENT BOISSO,8232.195,8296.042,-0.77,8712.78,8232.195
2024-11-01,905016,PROD MENAGER SOIN ,2111.773,2070.894,1.974,2165.76,2070.894
2024-11-01,905017,INDUSTRIES        ,1581.864,1595.649,-0.864,1634.879,1581.864
2024-11-01,905018,BATIM MATE CONSTRU,686.592,695.707,-1.31,716.699,686.592
2024-11-01,905020,MATERIAUX DE BASE ,3770.824,3795.01,-0.637,3924.419,3770.824
2024-11-01,905028,TUNINDEX20        ,3691.745,3695.266,-0.095,3802.654,3691.745
2024-12-01,905001,TUNINDEX          ,8461.109,8434.086,0.32,8691.005,8425.591
2024-12-01,905002,STES FINANCIERES  ,6373.399,6354.119,0.303,6495.221,6343.089
2024-12-01,905003,BANQUES           ,5949.316,5937.177,0.204,6053.854,5937.177
2024-12-01,905004,ASSURANCES        ,13188.555,12962.814,1.741,13901.307,12666.446
2024-12-01,905005,SERVICES FINANCIER,9124.756,9092.05,0.36,9255.542,8965.786
2024-12-01,905008,SERVICES AUX CONSO,2974.609,2938.875,1.216,2995.579,2909.846
2024-12-01,905009,DISTRIBUTION      ,4686.484,4630.184,1.216,4719.522,4584.45
2024-12-01,905013,BIENS CONSOMMATION,6678.504,6672.578,0.089,7007.386,6672.578
2024-12-01,905015,AGROALIMENT BOISSO,8197.831,8232.195,-0.417,8712.78,8197.831
2024-12-01,905016,PROD MENAGER SOIN ,2145.819,2111.773,1.612,2165.76,2070.894
2024-12-01,905017,INDUSTRIES        ,1589.453,1581.864,0.48,1634.879,1581.864
2024-12-01,905018,BATIM MATE CONSTRU,692.952,686.592,0.926,716.699,686.592
2024-12-01,905020,MATERIAUX DE BASE ,3846.142,3770.824,1.997,3924.419,3770.824
2024-12-01,905028,TUNINDEX20        ,3700.572,3691.745,0.239,3802.654,3691.745
2024-01-15,905001,TUNINDEX          ,8446.163,8461.109,-0.177,8691.005,8425.591
