SEANCE,CODE_INDICE,LIB_INDICE,INDICE_JOUR,INDICE_VEILLE,VARIATION_VEILLE,INDICE_PLUS_HAUT,INDICE_PLUS_BAS,INDICE_OUV
2015-01-02,905001,TUNINDEX,5107.86,5089.99,0.35,5125.7,5091.45,5091.45
2015-01-02,905002,INDSF,3446.08,3441.57,0.13,3465.89,3442.98,3448.27
2015-01-02,905003,INDBQ,3114.94,3115.76,0.03,3136.82,3114.57,3118.59
2015-01-02,905004,INDAS,9795.94,9615.8,1.87,9798.87,9683.21,9798.87
2015-01-02,905005,INSFI,5070.75,5051.47,0.38,5070.75,5051.9,5052.13
2015-01-02,905008,INDSC,3627.68,3572.7,1.54,3627.68,3572.7,3586.1
2015-01-02,905009,INDDI,5564.86,5479.35,1.56,5564.86,5479.35,5501.95
2015-01-02,905013,INBCO,4033.45,4016.12,0.43,4038.84,3993.04,4019.11
2015-01-02,905014,INAUE,2164.82,2142.67,1.03,2166.46,2139.67,2142.67
2015-01-02,905015,INAAB,4861.93,4861.5,0.01,4870.86,4848.12,4863.38
2015-01-02,905016,INPMP,1319.36,1284.19,2.74,1322.16,1251.09,1288.21
2015-01-02,905017,INDIN,1557.66,1557.31,0.02,1584.42,1557.66,1562.66
2015-01-02,905018,INBMC,1047.99,1051.04,0.29,1069.47,1047.99,1055.51
2015-01-02,905020,INDMB,2285.44,2275.29,0.45,2285.44,2273.31,2273.31
2015-01-02,905028,TUNINDEX20,2155.27,2149.76,0.26,2168.42,2150.74,2150.74
2015-01-05,905001,TUNINDEX,5109.65,5107.86,0.04,5112.83,5082.2,5108.07
2015-01-05,905002,INDSF,3464.49,3446.08,0.53,3467.07,3430.5,3445.89
2015-01-05,905003,INDBQ,3134.12,3114.94,0.62,3137.92,3097.67,3114.94
2015-01-05,905004,INDAS,9731.46,9795.94,0.66,9772.49,9731.46,9731.46
2015-01-05,905005,INSFI,5101.04,5070.75,0.6,5101.04,5029.38,5067.95
2015-01-05,905008,INDSC,3618.15,3627.68,0.26,3630.74,3582.97,3627.33
2015-01-05,905009,INDDI,5555.88,5564.86,0.16,5573.17,5496.54,5564.26
2015-01-05,905013,INBCO,4023.23,4033.45,0.25,4033.65,4007.82,4033.65
2015-01-05,905014,INAUE,2142.43,2164.82,1.03,2164.82,2121.38,2136.12
2015-01-05,905015,INAAB,4852.02,4861.93,0.2,4863.62,4828.89,4861.93
2015-01-05,905016,INPMP,1315.8,1319.36,0.27,1322.0,1315.8,1319.82
2015-01-05,905017,INDIN,1538.61,1557.66,1.22,1564.1,1532.01,1563.9
2015-01-05,905018,INBMC,1029.76,1047.99,1.74,1051.43,1024.25,1050.88
2015-01-05,905020,INDMB,2257.12,2285.44,1.24,2271.94,2239.11,2269.6
2015-01-05,905028,TUNINDEX20,2156.66,2155.27,0.06,2158.67,2143.72,2155.27
2015-01-06,905001,TUNINDEX,5087.65,5109.65,0.43,5091.51,5060.23,5083.97
2015-01-06,905002,INDSF,3452.93,3464.49,0.33,3453.15,3430.77,3443.16
2015-01-06,905003,INDBQ,3121.59,3134.12,0.4,3121.83,3101.05,3115.48
2015-01-06,905004,INDAS,9666.33,9731.46,0.67,9713.87,9602.65,9620.24
2015-01-06,905005,INSFI,5122.97,5101.04,0.43,5122.97,5066.36,5077.3
2015-01-06,905008,INDSC,3600.06,3618.15,0.5,3600.86,3574.94,3592.31
2015-01-06,905009,INDDI,5524.84,5555.88,0.56,5524.84,5485.37,5511.5
2015-01-06,905013,INBCO,3998.7,4023.23,0.61,4014.37,3974.99,4005.63
2015-01-06,905014,INAUE,2139.13,2142.43,0.15,2151.7,2121.38,2140.51
2015-01-06,905015,INAAB,4835.64,4852.02,0.34,4856.11,4802.01,4823.25
2015-01-06,905016,INPMP,1284.93,1315.8,2.35,1320.37,1284.38,1320.37
2015-01-06,905017,INDIN,1529.94,1538.61,0.56,1539.86,1519.55,1539.86
2015-01-06,905018,INBMC,1024.64,1029.76,0.5,1032.22,1016.17,1030.81
2015-01-06,905020,INDMB,2244.81,2257.12,0.55,2257.31,2220.37,2257.31
2015-01-06,905028,TUNINDEX20,2145.7,2156.66,0.51,2148.33,2124.64,2141.25
2015-01-07,905001,TUNINDEX,5080.01,5087.65,0.15,5084.24,5059.62,5084.24
2015-01-07,905002,INDSF,3455.15,3452.93,0.06,3456.22,3433.62,3451.42
2015-01-07,905003,INDBQ,3123.49,3121.59,0.06,3124.95,3104.83,3119.59
2015-01-07,905004,INDAS,9645.82,9666.33,0.21,9695.64,9642.89,9642.89
2015-01-07,905005,INSFI,5136.4,5122.97,0.26,5138.52,5072.77,5128.06
2015-01-07,905008,INDSC,3583.03,3600.06,0.47,3595.7,3559.71,3595.7
2015-01-07,905009,INDDI,5487.95,5524.84,0.67,5517.48,5458.09,5517.48
2015-01-07,905013,INBCO,4003.84,3998.7,0.13,4005.3,3963.57,3997.83
2015-01-07,905014,INAUE,2108.53,2139.13,1.43,2139.13,2108.53,2129.56
2015-01-07,905015,INAAB,4831.62,4835.64,0.08,4848.2,4801.07,4835.64
2015-01-07,905016,INPMP,1309.77,1284.93,1.93,1309.77,1261.64,1284.93
2015-01-07,905017,INDIN,1506.24,1529.94,1.55,1527.07,1506.24,1527.07
2015-01-07,905018,INBMC,1005.68,1024.64,1.85,1022.62,1005.68,1022.62
2015-01-07,905020,INDMB,2243.99,2244.81,0.04,2258.93,2234.09,2256.38
2015-01-07,905028,TUNINDEX20,2140.57,2145.7,0.24,2144.62,2130.15,2144.62
2015-01-08,905001,TUNINDEX,5052.03,5080.01,0.55,5079.01,5034.88,5078.01
2015-01-08,905002,INDSF,3433.98,3455.15,0.61,3455.1,3426.01,3453.8
2015-01-08,905003,INDBQ,3103.56,3123.49,0.64,3123.7,3094.35,3122.04
2015-01-08,905004,INDAS,9654.69,9645.82,0.09,9654.69,9600.5,9631.16
2015-01-08,905005,INSFI,5093.73,5136.4,0.83,5137.59,5089.15,5136.4
2015-01-08,905008,INDSC,3565.2,3583.03,0.5,3583.08,3548.44,3582.5
2015-01-08,905009,INDDI,5467.49,5487.95,0.37,5488.04,5439.21,5487.06
2015-01-08,905013,INBCO,3995.61,4003.84,0.21,4006.4,3979.53,4004.49
2015-01-08,905014,INAUE,2100.34,2108.53,0.39,2127.67,2084.76,2108.53
2015-01-08,905015,INAAB,4829.69,4831.62,0.04,4832.59,4807.94,4832.59
2015-01-08,905016,INPMP,1295.28,1309.77,1.11,1312.21,1280.06,1309.77
2015-01-08,905017,INDIN,1485.08,1506.24,1.4,1505.47,1472.49,1505.47
2015-01-08,905018,INBMC,991.88,1005.68,1.37,1005.04,981.36,1005.04
2015-01-08,905020,INDMB,2230.08,2243.99,0.62,2242.71,2209.51,2232.36
2015-01-08,905028,TUNINDEX20,2129.94,2140.57,0.5,2140.28,2119.05,2139.34
2015-01-09,905001,TUNINDEX,5052.77,5052.03,0.01,5076.61,5044.58,5050.2
2015-01-09,905002,INDSF,3424.49,3433.98,0.28,3433.79,3414.69,3433.79
2015-01-09,905003,INDBQ,3101.65,3103.56,0.06,3103.44,3085.88,3103.44
2015-01-09,905004,INDAS,9442.21,9654.69,2.2,9684.0,9442.21,9640.03
2015-01-09,905005,INSFI,5049.01,5093.73,0.88,5094.92,5042.81,5092.54
2015-01-09,905008,INDSC,3563.6,3565.2,0.04,3568.56,3546.29,3565.57
2015-01-09,905009,INDDI,5461.63,5467.49,0.11,5471.48,5435.58,5471.27
2015-01-09,905013,INBCO,4042.4,3995.61,1.17,4107.53,3985.6,3985.6
2015-01-09,905014,INAUE,2113.44,2100.34,0.62,2124.65,2098.96,2100.34
2015-01-09,905015,INAAB,4912.93,4829.69,1.72,4992.18,4814.83,4814.83
2015-01-09,905016,INPMP,1270.86,1295.28,1.89,1300.51,1268.05,1294.63
2015-01-09,905017,INDIN,1481.03,1485.08,0.27,1500.36,1469.92,1489.66
2015-01-09,905018,INBMC,987.31,991.88,0.46,1003.17,979.81,995.71
2015-01-09,905020,INDMB,2193.84,2230.08,1.63,2224.14,2193.84,2224.14
2015-01-09,905028,TUNINDEX20,2129.53,2129.94,0.02,2142.2,2125.03,2128.98
2015-01-12,905001,TUNINDEX,5119.32,5052.77,1.32,5120.05,5048.72,5048.72
2015-01-12,905002,INDSF,3448.31,3424.49,0.7,3449.25,3420.57,3425.03
2015-01-12,905003,INDBQ,3120.9,3101.65,0.62,3120.9,3098.05,3103.01
2015-01-12,905004,INDAS,9607.91,9442.21,1.75,9650.38,9442.21,9448.07
2015-01-12,905005,INSFI,5083.34,5049.01,0.68,5083.59,5019.34,5036.29
2015-01-12,905008,INDSC,3562.29,3563.6,0.04,3562.29,3528.62,3534.44
2015-01-12,905009,INDDI,5453.11,5461.63,0.16,5453.11,5399.47,5412.44
2015-01-12,905013,INBCO,4180.73,4042.4,3.42,4180.73,4039.63,4041.19
2015-01-12,905014,INAUE,2127.93,2113.44,0.69,2129.56,2096.22,2096.22
2015-01-12,905015,INAAB,5116.08,4912.93,4.14,5116.08,4912.93,4912.93
2015-01-12,905016,INPMP,1271.43,1270.86,0.04,1273.92,1242.72,1271.69
2015-01-12,905017,INDIN,1503.59,1481.03,1.52,1503.59,1479.25,1479.25
2015-01-12,905018,INBMC,1008.04,987.31,2.1,1008.04,986.01,986.01
2015-01-12,905020,INDMB,2209.7,2193.84,0.72,2219.6,2188.07,2189.88
2015-01-12,905028,TUNINDEX20,2163.3,2129.53,1.59,2163.3,2127.48,2127.48
2015-01-13,905001,TUNINDEX,5119.98,5119.32,0.01,5125.2,5104.65,5120.68
2015-01-13,905002,INDSF,3448.52,3448.31,0.01,3448.77,3438.47,3448.01
2015-01-13,905003,INDBQ,3121.6,3120.9,0.02,3121.67,3114.22,3120.29
2015-01-13,905004,INDAS,9555.16,9607.91,0.55,9613.77,9453.7,9477.15
2015-01-13,905005,INSFI,5094.03,5083.34,0.21,5094.03,5065.89,5087.15
2015-01-13,905008,INDSC,3555.1,3562.29,0.2,3562.0,3509.19,3555.08
2015-01-13,905009,INDDI,5444.27,5453.11,0.16,5455.76,5373.01,5440.95
2015-01-13,905013,INBCO,4168.61,4180.73,0.29,4198.48,4152.15,4182.11
2015-01-13,905014,INAUE,2108.71,2127.93,0.9,2119.74,2087.78,2119.74
2015-01-13,905015,INAAB,5115.02,5116.08,0.02,5161.28,5087.33,5116.31
2015-01-13,905016,INPMP,1248.82,1271.43,1.78,1278.64,1248.82,1276.04
2015-01-13,905017,INDIN,1514.77,1503.59,0.74,1528.88,1505.12,1509.87
2015-01-13,905018,INBMC,1015.55,1008.04,0.75,1027.09,1009.17,1012.99
2015-01-13,905020,INDMB,2218.19,2209.7,0.38,2219.28,2209.7,2209.7
2015-01-13,905028,TUNINDEX20,2162.92,2163.3,0.02,2166.36,2154.54,2163.23
2015-01-15,905001,TUNINDEX,5100.58,5119.98,0.38,5148.44,5085.24,5121.58
2015-01-15,905002,INDSF,3451.71,3448.52,0.09,3454.88,3446.68,3451.61
2015-01-15,905003,INDBQ,3124.05,3121.6,0.08,3128.14,3120.35,3124.93
2015-01-15,905004,INDAS,9625.63,9555.16,0.74,9625.63,9424.4,9555.16
2015-01-15,905005,INSFI,5084.63,5094.03,0.18,5094.03,5074.44,5094.03
2015-01-15,905008,INDSC,3534.47,3555.1,0.58,3564.38,3534.47,3548.97
2015-01-15,905009,INDDI,5415.77,5444.27,0.52,5456.77,5415.77,5430.77
2015-01-15,905013,INBCO,4144.46,4168.61,0.58,4255.05,4099.46,4158.48
2015-01-15,905014,INAUE,2069.89,2108.71,1.84,2110.62,2069.89,2108.71
2015-01-15,905015,INAAB,5064.53,5115.02,0.99,5226.93,5016.07,5095.8
2015-01-15,905016,INPMP,1280.1,1248.82,2.5,1280.68,1225.62,1255.39
2015-01-15,905017,INDIN,1481.36,1514.77,2.21,1511.17,1480.81,1511.17
2015-01-15,905018,INBMC,994.14,1015.55,2.11,1012.55,993.22,1012.55
2015-01-15,905020,INDMB,2185.47,2218.19,1.48,2212.46,2185.47,2212.46
2015-01-15,905028,TUNINDEX20,2155.29,2162.92,0.35,2176.51,2145.92,2164.53
2015-01-16,905001,TUNINDEX,5138.05,5100.58,0.73,5140.19,5094.4,5101.51
2015-01-16,905002,INDSF,3444.32,3451.71,0.21,3451.23,3439.4,3451.23
2015-01-16,905003,INDBQ,3121.23,3124.05,0.09,3123.79,3114.11,3123.53
2015-01-16,905004,INDAS,9393.78,9625.63,2.41,9619.76,9393.78,9619.76
2015-01-16,905005,INSFI,5089.49,5084.63,0.1,5102.92,5052.38,5056.2
2015-01-16,905008,INDSC,3518.02,3534.47,0.47,3538.96,3487.96,3531.82
2015-01-16,905009,INDDI,5390.41,5415.77,0.47,5423.35,5337.33,5411.31
2015-01-16,905013,INBCO,4248.57,4144.46,2.51,4248.57,4145.19,4146.27
2015-01-16,905014,INAUE,2101.99,2069.89,1.55,2101.99,2054.04,2061.7
2015-01-16,905015,INAAB,5178.59,5064.53,2.25,5178.8,5056.86,5056.86
2015-01-16,905016,INPMP,1337.2,1280.1,4.46,1337.27,1296.61,1298.15
2015-01-16,905017,INDIN,1522.1,1481.36,2.75,1522.1,1476.88,1484.12
2015-01-16,905018,INBMC,1023.71,994.14,2.97,1023.74,986.74,995.68
2015-01-16,905020,INDMB,2206.12,2185.47,0.94,2206.12,2168.61,2185.47
2015-01-16,905028,TUNINDEX20,2176.99,2155.29,1.01,2178.25,2151.57,2155.58
2015-01-19,905001,TUNINDEX,5143.07,5138.05,0.1,5155.57,5122.15,5139.21
2015-01-19,905002,INDSF,3439.71,3444.32,0.13,3449.77,3438.99,3446.12
2015-01-19,905003,INDBQ,3117.14,3121.23,0.13,3127.65,3116.32,3123.18
2015-01-19,905004,INDAS,9379.36,9393.78,0.15,9462.92,9379.36,9434.37
2015-01-19,905005,INSFI,5081.99,5089.49,0.15,5092.72,5064.25,5092.46
2015-01-19,905008,INDSC,3527.27,3518.02,0.26,3538.68,3509.26,3518.02
2015-01-19,905009,INDDI,5397.45,5390.41,0.13,5426.17,5376.54,5390.41
2015-01-19,905013,INBCO,4270.52,4248.57,0.52,4303.76,4201.2,4248.57
2015-01-19,905014,INAUE,2101.16,2101.99,0.04,2110.73,2068.37,2110.18
2015-01-19,905015,INAAB,5211.47,5178.59,0.63,5267.8,5119.69,5178.59
2015-01-19,905016,INPMP,1336.94,1337.2,0.02,1340.16,1311.5,1338.08
2015-01-19,905017,INDIN,1524.18,1522.1,0.14,1540.35,1517.34,1521.24
2015-01-19,905018,INBMC,1026.23,1023.71,0.25,1039.12,1021.14,1022.8
2015-01-19,905020,INDMB,2207.96,2206.12,0.08,2208.76,2188.74,2204.8
2015-01-19,905028,TUNINDEX20,2175.82,2176.99,0.05,2184.12,2164.96,2176.07
2015-01-20,905001,TUNINDEX,5155.42,5143.07,0.24,5157.24,5133.93,5142.92
2015-01-20,905002,INDSF,3444.94,3439.71,0.15,3447.19,3434.32,3439.71
2015-01-20,905003,INDBQ,3115.71,3117.14,0.05,3117.7,3108.52,3117.14
2015-01-20,905004,INDAS,9555.72,9379.36,1.88,9581.66,9408.67,9499.6
2015-01-20,905005,INSFI,5121.35,5081.99,0.77,5129.62,5069.77,5080.72
2015-01-20,905008,INDSC,3519.52,3527.27,0.22,3528.45,3484.99,3527.27
2015-01-20,905009,INDDI,5394.64,5397.45,0.05,5399.45,5335.6,5397.45
2015-01-20,905013,INBCO,4322.41,4270.52,1.22,4338.21,4256.91,4270.1
2015-01-20,905014,INAUE,2100.29,2101.16,0.04,2102.53,2067.54,2092.98
2015-01-20,905015,INAAB,5302.84,5211.47,1.75,5320.73,5193.77,5211.47
2015-01-20,905016,INPMP,1314.6,1336.94,1.67,1336.19,1314.6,1335.98
2015-01-20,905017,INDIN,1506.27,1524.18,1.18,1518.46,1497.22,1512.36
2015-01-20,905018,INBMC,1010.23,1026.23,1.56,1021.64,1003.24,1016.36
2015-01-20,905020,INDMB,2206.01,2207.96,0.09,2209.67,2182.35,2205.98
2015-01-20,905028,TUNINDEX20,2182.96,2175.82,0.33,2183.67,2172.79,2175.72
2015-01-21,905001,TUNINDEX,5152.36,5155.42,0.06,5170.31,5142.39,5154.22
2015-01-21,905002,INDSF,3446.89,3444.94,0.06,3454.38,3438.83,3444.94
