SEANCE;CODE_INDICE;LIB_INDICE;INDICE_JOUR    ;INDICE_VEILLE;VARIATION_VEILLE;INDICE_PLUS_HAUT;INDICE_PLUS_BAS
06/01/2022   ;905017    ;INDUSTRIES        ;1315.490            ;1310.360            ;0.391               ;1317.980            ;1304.940            
06/01/2022   ;905018    ;BATIM MATE CONSTRU;570.010             ;568.520             ;0.262               ;570.010             ;562.860             
06/01/2022   ;905020    ;MATERIAUX DE BASE ;3496.540            ;3494.250            ;0.066               ;3535.110            ;3494.260            
06/01/2022   ;905028    ;TUNINDEX20        ;3000.810            ;3009.940            ;-0.303              ;3009.950            ;3000.380            
07/01/2022   ;905001    ;TUNINDEX          ;6984.860            ;6961.650            ;0.333               ;6984.860            ;6960.300            
07/01/2022   ;905002    ;STES FINANCIERES  ;4286.220            ;4253.040            ;0.780               ;4289.020            ;4253.050            
07/01/2022   ;905003    ;BANQUES           ;3916.580            ;3882.350            ;0.882               ;3916.580            ;3882.350            
07/01/2022   ;905004    ;ASSURANCES        ;12286.970           ;12264.170           ;0.186               ;12468.030           ;12253.350           
07/01/2022   ;905005    ;SERVICES FINANCIER;5792.400            ;5794.910            ;-0.043              ;5860.500            ;5792.400            
07/01/2022   ;905008    ;SERVICES AUX CONSO;2750.040            ;2737.310            ;0.465               ;2758.850            ;2737.320            
07/01/2022   ;905009    ;DISTRIBUTION      ;4332.670            ;4312.630            ;0.465               ;4346.560            ;4312.630            
07/01/2022   ;905013    ;BIENS CONSOMMATION;8802.370            ;8813.810            ;-0.130              ;8813.820            ;8703.700            
07/01/2022   ;905015    ;AGROALIMENT BOISSO;11398.920           ;11404.650           ;-0.050              ;11404.650           ;11271.320           
07/01/2022   ;905016    ;PROD MENAGER SOIN ;2413.500            ;2424.100            ;-0.437              ;2427.360            ;2376.600            
07/01/2022   ;905017    ;INDUSTRIES        ;1310.600            ;1315.490            ;-0.372              ;1317.980            ;1304.940            
07/01/2022   ;905018    ;BATIM MATE CONSTRU;566.380             ;570.010             ;-0.637              ;570.010             ;562.860             
07/01/2022   ;905020    ;MATERIAUX DE BASE ;3451.520            ;3496.540            ;-1.288              ;3535.110            ;3451.520            
07/01/2022   ;905028    ;TUNINDEX20        ;3013.830            ;3000.810            ;0.434               ;3013.830            ;3000.380            
10/01/2022   ;905001    ;TUNINDEX          ;6976.100            ;6984.850            ;-0.125              ;6984.860            ;6960.300            
10/01/2022   ;905002    ;STES FINANCIERES  ;4282.400            ;4286.220            ;-0.089              ;4289.020            ;4253.050            
10/01/2022   ;905003    ;BANQUES           ;3913.280            ;3916.580            ;-0.084              ;3916.580            ;3882.350            
10/01/2022   ;905004    ;ASSURANCES        ;12272.430           ;12286.960           ;-0.118              ;12468.030           ;12253.350           
10/01/2022   ;905005    ;SERVICES FINANCIER;5785.050            ;5792.400            ;-0.127              ;5860.500            ;5785.050            
10/01/2022   ;905008    ;SERVICES AUX CONSO;2745.650            ;2750.030            ;-0.159              ;2758.850            ;2737.320            
10/01/2022   ;905009    ;DISTRIBUTION      ;4325.760            ;4332.660            ;-0.159              ;4346.560            ;4312.630            
10/01/2022   ;905013    ;BIENS CONSOMMATION;8793.190            ;8802.370            ;-0.104              ;8813.820            ;8703.700            
10/01/2022   ;905015    ;AGROALIMENT BOISSO;11392.960           ;11398.910           ;-0.052              ;11404.650           ;11271.320           
10/01/2022   ;905016    ;PROD MENAGER SOIN ;2411.160            ;2413.500            ;-0.097              ;2427.360            ;2376.600            
10/01/2022   ;905017    ;INDUSTRIES        ;1301.990            ;1310.600            ;-0.657              ;1317.980            ;1301.990            
10/01/2022   ;905018    ;BATIM MATE CONSTRU;561.030             ;566.370             ;-0.943              ;570.010             ;561.030             
10/01/2022   ;905020    ;MATERIAUX DE BASE ;3497.250            ;3451.520            ;1.325               ;3535.110            ;3451.520            
10/01/2022   ;905028    ;TUNINDEX20        ;3008.980            ;3013.830            ;-0.161              ;3013.830            ;3000.380            
11/01/2022   ;905001    ;TUNINDEX          ;6992.640            ;6976.100            ;0.237               ;6992.640            ;6960.300            
11/01/2022   ;905002    ;STES FINANCIERES  ;4306.860            ;4282.400            ;0.571               ;4306.860            ;4253.050            
11/01/2022   ;905003    ;BANQUES           ;3936.760            ;3913.270            ;0.600               ;3936.760            ;3882.350            
11/01/2022   ;905004    ;ASSURANCES        ;12384.090           ;12272.430           ;0.910               ;12468.030           ;12253.350           
11/01/2022   ;905005    ;SERVICES FINANCIER;5766.490            ;5785.050            ;-0.321              ;5860.500            ;5766.490            
11/01/2022   ;905008    ;SERVICES AUX CONSO;2750.340            ;2745.640            ;0.171               ;2758.850            ;2737.320            
11/01/2022   ;905009    ;DISTRIBUTION      ;4333.150            ;4325.750            ;0.171               ;4346.560            ;4312.630            
